,0
Alice,394
Was,357
Beginning,14
To,724
Get,46
Very,144
Tired,7
Of,513
Sitting,10
By,58
Her,248
Sister,9
On,193
The,1630
Bank,3
And,869
Having,10
Nothing,33
Do,79
Once,34
Or,76
Twice,5
She,553
Had,178
Peeped,3
Into,67
Book,11
Reading,3
But,170
It,595
No,88
Pictures,4
Conversations,2
In,366
What,141
Is,108
Use,18
A,624
Thought,74
Without,26
So,152
Considering,3
Own,10
Mind,11
As,263
Well,63
Could,77
For,152
Hot,7
Day,29
Made,30
Feel,8
Sleepy,5
Stupid,6
Whether,11
Pleasure,2
Making,8
Daisy,1
Chain,1
Would,82
Be,145
Worth,4
Trouble,6
Getting,22
Up,100
Picking,2
Daisies,1
When,79
Suddenly,13
White,30
Rabbit,49
With,179
Pink,1
Eyes,29
Ran,16
Close,13
There,99
Remarkable,2
That,314
Nor,3
Did,63
Think,53
Much,51
Out,117
Way,56
Hear,14
Say,51
Itself,14
Oh,45
Dear,28
I,538
Shall,25
Late,6
Over,40
Afterwards,2
Occurred,2
Ought,14
Have,79
Wondered,1
At,212
This,133
Time,71
All,182
Seemed,27
Quite,55
Natural,4
Actually,1
Took,24
Watch,8
Its,57
Waistcoat,2
Pocket,7
Looked,45
Then,94
Hurried,11
Started,2
Feet,19
Flashed,1
Across,5
Never,48
Before,38
Seen,15
Either,10
Take,21
Burning,1
Curiosity,5
Field,1
After,43
Fortunately,1
Just,52
See,67
Pop,1
Down,101
Large,33
Hole,4
Under,16
Hedge,2
Another,22
Moment,31
Went,83
How,68
World,7
Again,83
Straight,2
Like,85
Tunnel,1
Some,51
Dipped,2
Not,145
About,94
Stopping,1
Herself,83
Found,32
Falling,2
Deep,7
Fell,6
Slowly,8
Plenty,2
Look,29
Wonder,18
Going,27
Happen,8
Next,30
First,51
Tried,19
Make,27
Coming,9
Too,26
Dark,3
Anything,20
Sides,4
Noticed,8
They,152
Were,85
Filled,3
Cupboards,2
Shelves,2
Here,51
Saw,14
Maps,1
Hung,1
Upon,26
Pegs,1
Jar,2
From,35
One,104
Passed,5
Labelled,1
Orange,1
Marmalade,1
Great,39
Disappointment,1
Empty,1
Drop,1
Fear,4
Killing,1
Somebody,7
Underneath,2
Managed,4
Put,31
Past,3
Such,40
Fall,7
Tumbling,2
Stairs,3
Brave,1
Ll,53
Me,68
Home,5
Why,40
Wouldn,13
T,218
Even,18
If,96
Off,73
Top,8
House,17
Which,49
Likely,5
True,4
Come,45
An,57
End,17
Many,12
Miles,3
Ve,43
Fallen,4
Said,459
Aloud,5
Must,43
Somewhere,3
Near,14
Centre,1
Earth,4
Let,21
Four,8
Thousand,2
You,409
Learnt,2
Several,4
Things,31
Sort,20
Lessons,10
Schoolroom,1
Though,11
Good,27
Opportunity,8
Showing,2
Knowledge,3
Listen,7
