,0
0,Went
1,Herself
2,Began
3,Quite
4,Don
5,Voice
6,Looked
7,Round
8,Tone
9,Came
10,Re
11,Door
12,Moment
13,Heard
14,Dear
15,Nothing
16,Eyes
17,Seemed
18,Won
19,Rather
20,Poor
21,Took
22,Soon
23,Cry
24,Cat
25,Felt
26,Hurry
27,Wish
28,Till
29,Minute
30,Arm
31,Jury
32,Feet
33,Eat
34,Curious
35,Anything
36,Wonder
37,Tea
38,Spoke
39,Sat
40,Asked
41,Turned
42,Talking
43,Ran
44,Hastily
45,Doesn
46,Begin
47,Saying
48,Pig
49,Knew
50,Indeed
51,Idea
52,Gave
53,Trying
54,Sea
55,Saw
56,Perhap
57,Ought
58,Mouth
59,Mad
60,Itself
61,Hear
62,Beginning
63,Anxiously
64,Speak
65,Seem
66,Remark
67,Lesson
68,Kept
69,Happen
70,Grow
71,Gone
72,Dance
73,Cook
74,Certainly
75,Behind
76,Turning
77,Tail
78,Suppose
79,Suddenly
80,Queer
81,Mouse
82,Finished
83,Deal
84,Afraid
85,Wasn
86,Waited
87,Soldier
88,Sister
89,Silence
90,Matter
91,Hardly
92,Growing
93,Gloves
94,Glad
95,Ear
96,Conversation
97,Bird
98,Yourself
99,Witness
100,Walked
