Herself,pronoun," that same woman, girl, or female animal:"
Quite,adverb, to a very noticeable degree or extent
Don,noun,British  a teacher in a college or university especially  a teacher at Oxford or Cambridge University
Voice,noun," the sounds that you make with your mouth and throat when you are speaking, singing, etc."
Looked,verb, to direct your eyes in a particular direction
Round,adjective, shaped like a circle or ball
Tone,noun, the quality of a person's voice
Re,noun,music  the second note of a musical scale
Door,noun," a movable piece of wood, glass, or metal that swings or slides open and shut so that people can enter or leave a room, building, vehicle, etc."
Moment,noun, a very short period of time
Heard,verb, to be aware of (sound) through the ear
Dear,adjective, loved or valued very much
Nothing,pronoun, not anything  not a thing
Eyes,noun, the part of the body that you see with
Seemed,verb," to appear to be something or to do something  to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Rather,adverb, to some degree or extent
Poor,adjective, having little money or few possessions  not having enough money for the basic things that people need to live properly
Soon,adverb, at a time that is not long from now
Cry,verb," to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions"
Cat,noun, a small animal that is related to lions and tigers and that is often kept by people as a pet
Hurry,verb," to move, act, or go quickly"
Wish,verb, to want (something) to be true or to happen
Till,preposition,
Minute,noun, a unit of time equal to 60 seconds  one 60th of an hour
Arm,noun, either one of the two long body parts that join the top of your body at the shoulder and that end at the hand or wrist
Jury,noun, a group of people who are members of the public and are chosen to make a decision in a legal case
Eat,verb, to take food into your mouth and swallow it
Curious,adjective, having a desire to learn or know more about something or someone
Anything,pronoun, a thing of any kind
Wonder,noun," something or someone that is very surprising, beautiful, amazing, etc."
Tea,noun, a drink that is made by soaking the dried leaves of an Asian plant in hot water
Asked,verb, to say or write something to someone as a way of gaining information  to request an answer to a question
Turned,verb, to move around a central point
Talking,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone"
Hastily,adjective, done or made very quickly
Begin,verb, to do the first part of an action  to start doing something
Saying,noun, an old and well-known phrase that expresses an idea that most people believe is true
Pig,noun," an animal that has a fat body with short legs, a small tail, and a wide nose and that is raised on a farm or lives in the wild"
Indeed,adverb, without any question
Idea,noun," a thought, plan, or suggestion about what to do"
Trying,adjective, difficult to deal with
Sea,noun, the salt water that covers much of the Earth's surface (literary)
Ought,verb,used to indicate what is expected
Mouth,noun, the opening through which food passes into the body  the part of the face that includes the lips and the opening behind them
Mad,adjective,"chiefly US, informal  very angry"
Itself,pronoun, that same one:
Hear,verb, to be aware of (sound) through the ear
Beginning,noun, the point or time at which something begins  a starting point
Anxiously,adjective, afraid or nervous especially about what may happen  feeling anxiety
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Seem,verb," to appear to be something or to do something  to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Remark,noun, something that someone says or writes to express an opinion or idea
Lesson,noun, an activity that you do in order to learn something also  something that is taught
Happen,verb, to take place especially without being planned
Grow,verb," to become larger  to increase in size, amount, etc."
Dance,verb, to move your body in a way that goes with the rhythm and style of music that is being played
Cook,noun," someone who prepares and cooks food for eating at home, in a restaurant, etc."
Certainly,adverb, without doubt
Behind,adverb, in or toward the back
Turning,noun,British
Tail,noun, the part of an animal's body that extends from the animal's back end
Suppose,verb, to think of (something) as happening or being true in order to imagine what might happen
Suddenly,adverb, very quickly in usually an unexpected way  in a sudden way
Queer,adjective,old-fashioned  odd or unusual
Mouse,noun," a very small animal that has a pointed nose and a long, thin tail"
Finished,adjective," having reached the end of an activity, job, etc."
Deal,verb, to give cards to the players in a card game
Afraid,adjective, feeling fear: such as
Waited,verb," to stay in a place until an expected event happens, until someone arrives, until it is your turn to do something, etc."
Soldier,noun, a person who is in the military  a member of an army
Sister,noun, a girl or woman who has one or both of the same parents as you
Silence,noun, a lack of sound or noise
Matter,noun," something that is being done, talked about, or thought about"
Hardly,adverb,
Growing,verb," to become larger  to increase in size, amount, etc."
Gloves,noun, a covering for the hand that has separate parts for each finger
Glad,adjective," feeling pleasure, joy, or delight"
Ear,noun, the part of the body that you hear with
Conversation,noun, an informal talk involving two people or a small group of people  the act of talking in an informal way
Bird,noun, an animal that has wings and is covered with feathers
Yourself,pronoun, the person that is being addressed:
Witness,noun, a person who sees something (such as a crime) happen
Walked,verb, to move with your legs at a speed that is slower than running
Begin,verb, to do the first part of an action  to start doing something
Come,verb, to move toward someone or something
Win,verb," to achieve victory in a fight, contest, game, etc."
Feel,verb," to be aware of (something that affects you physically, such as pain, heat, or an object touching your body)"
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Sit,verb," to be in a position in which your bottom is resting on a chair, the ground, etc., especially with your back upright"
Run,verb, to move with your legs at a speed that is faster than walking
Know,verb, to have (information of some kind) in your mind
Give,verb, to cause or allow someone to have (something) as a present  to make a present of (something)
See,verb, to notice or become aware of (someone or something) by using your eyes
Perhaps,adverb, possibly but not certainly
Keep,verb," to continue having or holding (something)  to not return, lose, sell, give away, or throw away (something)"
