,0
Was,356
Beginning,14
To,723
Get,44
Very,139
Tired,7
Of,502
Sitting,10
By,54
Her,249
Sister,11
On,189
The,1630
Bank,4
And,869
Having,10
Nothing,29
Do,66
Once,31
Or,75
Twice,5
She,553
Had,185
Peeped,3
Into,67
Book,13
Reading,3
But,133
It,652
No,68
Pictures,4
Conversation,11
In,355
What,141
Is,105
Use,18
A,624
Thought,76
Without,26
Considering,3
Own,10
Mind,9
As,246
Well,40
Could,86
For,140
Hot,7
Day,29
Made,30
Feel,8
Sleepy,5
Stupid,5
Whether,11
Pleasure,2
Making,8
Daisy,2
Chain,2
Would,86
Be,143
Worth,4
Trouble,6
Getting,22
Up,98
Picking,2
When,79
Suddenly,12
With,176
Pink,1
Eyes,29
Ran,16
Close,13
So,125
Remarkable,2
That,314
Nor,2
Did,74
Think,53
Much,51
Out,117
Way,56
Hear,14
Say,51
Itself,14
Dear,30
I,538
Shall,23
Late,6
Over,40
Afterward,2
Occurred,2
Ought,14
Have,76
Wondered,1
At,203
This,116
Time,68
All,176
Seemed,27
Quite,55
Natural,4
Actually,1
Took,24
Watch,8
Waistcoat,2
Pocket,7
Looked,45
Then,94
Hurry,22
Started,2
Feet,19
Flashed,1
Across,5
Never,44
Before,37
Seen,15
Rabbit,7
Either,9
Take,17
Burning,1
Curiosity,5
Field,1
After,37
Fortunately,1
Just,45
See,66
Pop,1
Down,99
Large,33
Hole,4
Under,16
Hedge,2
Another,22
Moment,31
Went,83
How,68
World,7
Again,83
Straight,2
Like,84
Tunnel,1
Some,49
Dipped,2
Not,136
About,94
Stopping,1
Herself,83
Found,30
Falling,2
Deep,7
Fell,6
Slowly,8
Plenty,2
Look,28
Wonder,18
Going,27
Happen,13
Next,28
Try,30
Make,27
Coming,8
Too,25
Dark,3
Anything,19
Sides,4
Noticed,8
They,152
Were,85
Filled,3
Cupboard,2
Shelves,2
Here,40
There,66
Saw,14
Map,1
Hung,1
Upon,26
Peg,1
Jar,2
From,34
One,98
Passed,5
Labelled,1
Orange,1
Marmalade,1
Great,39
Disappointment,1
Empty,1
Drop,1
Fear,4
Killing,1
Somebody,6
Underneath,2
Managed,4
Put,31
Past,3
Such,40
Fall,7
Tumbling,2
Stair,3
Brave,1
Ll,53
Me,68
Home,5
Why,40
Even,17
If,96
Off,62
Top,9
House,17
Likely,5
True,4
Come,25
An,52
End,17
Many,12
Miles,3
Ve,43
Fallen,4
Said,457
Aloud,5
Must,43
Somewhere,3
Near,14
Centre,1
Earth,4
Four,8
Thousand,2
You,354
Learnt,2
Several,4
Thing,80
Sort,23
Lesson,13
Schoolroom,1
Though,10
Good,26
Opportunity,8
Showing,2
Knowledge,3
Listen,7
Still,12
Practice,1
Yes,1
Right,30
Distance,8
Got,45
Idea,15
Nice,6
Grand,3
Word,31
Began,58
Through,14
Funny,3
Seem,13
Among,12
People,13
Walk,5
Their,52
Head,59
Downward,2
Antipathy,1
Rather,25
Glad,11
Listening,3
Sound,7
Ask,11
Them,88
Name,10
Country,1
Know,89
Am,16
Curtsey,1
Spoke,17
Fancy,9
Curtseying,1
Re,38
Air,16
Manage,7
Ignorant,1
Little,127
Girl,7
Asking,5
Perhap,14
Written,6
Else,12
Soon,24
Talking,16
Miss,1
Night,5
Should,32
Cat,24
Hope,3
Remember,14
Saucer,1
Milk,2
Tea,18
My,55
Wish,21
Are,49
Mice,4
Afraid,12
Might,28
Catch,3
Bat,7
Mouse,12
Eat,19
Saying,15
Dreamy,1
Sometimes,5
Answer,10
Question,21
Matter,11
Which,41
Felt,23
Dozing,1
Begun,7
Dream,7
Walking,5
Hand,32
Earnestly,2
Tell,29
Truth,1
Ever,22
Thump,2
Came,40
Heap,1
Stick,5
Dry,9
Leaves,6
Bit,16
Hurt,3
Jumped,6
Overhead,1
Long,31
Passage,4
Sight,10
Hurrying,1
Lost,3
Away,25
Wind,2
Turned,16
Corner,5
Ear,11
Whisker,3
Behind,13
Longer,3
Low,15
Hall,9
Lit,1
Row,2
Lamp,1
Hanging,3
Roof,6
Door,32
Round,41
Locked,1
Been,38
Side,17
Other,47
Trying,14
Every,12
Walked,10
Sadly,5
Middle,7
Wondering,7
Three,28
Legged,2
Table,17
Solid,1
Glass,10
Except,4
Tiny,4
Golden,7
Key,9
First,44
Belong,3
Alas,3
Lock,3
Small,10
Any,39
Rate,9
Open,7
Second,4
Curtain,1
Fifteen,1
Inches,6
High,16
Delight,3
Fitted,1
Opened,10
Led,4
Larger,7
Than,24
Rat,2
Knelt,1
Along,6
Loveliest,1
Garden,16
Longed,2
Wander,1
Those,9
Bed,3
Bright,8
Flower,4
Cool,2
Fountain,2
Doorway,1
Go,46
Poor,25
Shoulder,8
Shut,5
Telescope,3
Only,47
Knew,15
Begin,16
Happened,7
Lately,1
Few,9
Indeed,15
Really,10
Impossible,3
Waiting,8
Back,39
Half,22
Hoping,3
Find,22
Rules,3
Shutting,2
Telescopes,1
Bottle,10
Certainly,13
Neck,7
Paper,4
Label,2
Drink,6
Beautifully,2
Printed,1
Letter,4
Wise,2
Marked,6
Poison,3
Read,10
History,8
Children,10
Who,62
Burnt,1
Eaten,1
Wild,2
Beast,3
Unpleasant,2
Because,14
Simple,5
Friend,5
Taught,4
Red,3
Poker,1
Will,26
Burn,2
Hold,6
Cut,5
Your,63
Finger,5
Deeply,4
Knife,3
Usually,2
Bleed,1
Forgotten,6
Almost,6
Certain,3
Disagree,1
Sooner,2
Later,3
Ventured,4
Taste,2
Finding,3
Fact,8
Mixed,2
Flavour,1
Cherry,1
Tart,7
Custard,1
Pine,1
Apple,1
Roast,1
Turkey,1
Toffee,1
Buttered,1
Toast,1
Finished,12
Curious,19
Feeling,9
Now,48
Ten,5
Face,15
Brightened,2
Size,13
Lovely,2
However,7
Waited,11
Minutes,11
Shrink,1
Further,3
Nervous,5
Altogether,5
Candle,3
Flame,1
Blown,1
While,20
More,49
Decided,3
Possibly,3
Reach,4
Plainly,1
Best,12
Climb,1
Leg,3
Slippery,1
Sat,17
Cry,24
Crying,2
Sharply,4
Advise,1
Leave,8
Minute,21
Generally,7
Gave,15
Advice,1
Seldom,1
Followed,8
Scolded,1
Severely,4
Bring,2
Tear,10
Remembered,5
Box,10
Cheated,1
Game,12
Croquet,8
Playing,2
Against,9
Child,11
Fond,4
Pretending,1
Two,34
Pretend,1
Hardly,11
Enough,18
Left,14
Respectable,1
Person,5
Eye,7
Lying,8
Cake,3
Currant,1
Makes,11
Grow,13
Can,61
Smaller,3
Creep,1
Don,52
Care,4
Ate,1
Anxiously,14
Holding,3
Growing,11
Surprised,7
Remained,3
Same,23
Sure,20
Expecting,3
Dull,3
Life,12
Common,1
Set,14
Work,9
Curiouser,1
Forgot,2
Speak,13
Opening,3
Largest,1
Bye,2
Far,13
Shoes,7
Stocking,1
Shan,5
Able,1
Deal,12
Myself,7
Kind,7
Won,26
Want,11
Give,9
New,4
Pair,6
Boot,3
Planning,1
Carrier,1
Sending,2
Present,5
Odd,1
Direction,8
Nonsense,6
Struck,2
Nine,5
Hopeless,1
Ashamed,2
Yourself,10
Shedding,1
Gallon,1
Until,5
Pool,10
Reaching,1
Heard,30
Pattering,3
Hastily,16
Returning,1
Splendidly,1
Dressed,1
White,8
Kid,5
Gloves,11
Fan,10
He,124
Trotting,2
Muttering,3
Himself,6
Savage,4
Kept,13
Desperate,1
Ready,8
Help,9
Timid,3
Voice,48
Please,14
Sir,6
Violently,4
Dropped,5
Skurry,1
Darkness,1
Hard,8
Fanning,1
Queer,12
Everything,12
Yesterday,3
Usual,5
Changed,8
Morning,4
Different,9
Puzzle,1
Thinking,10
Age,4
Hair,7
Goes,7
Ringlet,2
Mine,9
Doesn,16
Oh,10
Puzzling,4
Used,13
Times,6
Five,1
Twelve,4
Six,2
Thirteen,1
Seven,1
Twenty,2
Signify,2
Let,11
Capital,4
Wrong,5
Doth,3
Crossed,3
Lap,2
Repeat,6
Sounded,5
Hoarse,3
Strange,5
Crocodile,1
His,95
Shining,1
Tail,12
Pour,1
Water,6
Scale,1
Cheerfully,1
Grin,7
Neatly,2
Spread,3
Claw,2
Welcome,1
Fishes,1
Gently,3
Smiling,2
Jaw,3
Live,8
Poky,1
Toys,1
Play,8
Learn,7
Stay,5
Putting,3
Being,19
Till,21
Sudden,5
Burst,1
Alone,4
Done,15
Measure,1
Nearly,10
Guess,3
Shrinking,4
Rapidly,2
Cause,2
Avoid,1
Narrow,2
Escape,4
Frightened,7
Change,13
Existence,1
Speed,1
Worse,3
Declare,2
Bad,2
These,12
Foot,9
Slipped,3
Splash,1
Chin,7
Salt,2
Somehow,1
Sea,14
Case,5
Railway,2
Seaside,1
General,3
Conclusion,2
Wherever,2
Coast,1
Number,4
Bathing,1
Machines,1
Digging,2
Sand,2
Wooden,1
Spades,1
Lodging,1
Houses,1
Station,1
Wept,1
Swam,5
Punished,1
Suppose,12
Drowned,1
Something,18
Splashing,2
Nearer,5
Walrus,1
Hippopotamus,1
Talk,14
Harm,1
O,3
Swimming,2
Speaking,5
Brother,1
Inquisitively,1
Wink,2
Understand,6
Daresay,1
Clear,2
Notion,3
Ago,2
Oã¹,1
Est,1
Ma,1
Chatte,1
Sentence,5
Leap,1
Quiver,1
Fright,2
Beg,8
Pardon,6
Animal,6
Shrill,5
Passionate,1
Soothing,1
Tone,40
Angry,5
Yet,22
Show,3
Our,7
Quiet,2
Lazily,1
Sit,8
Purring,2
Nicely,2
Fire,4
Licking,1
Paw,7
Washing,3
Soft,1
Nurse,3
Catching,2
Bristling,1
Offended,10
Trembling,6
Subject,7
Family,1
Always,12
Hated,1
Nasty,1
Vulgar,1
Dog,6
Eagerly,8
Eyed,1
Terrier,1
Curly,1
Brown,2
Fetch,6
Throw,3
Dinner,2
Farmer,1
Says,4
Useful,2
Hundred,1
Pound,1
Kill,2
Sorrowful,2
Commotion,1
Called,15
Softly,1
We,23
Pale,4
Passion,3
Us,13
Shore,4
Hate,2
Crowded,5
Bird,11
Creatures,10
Whole,12
Party,9
Looking,32
Assembled,2
Draggled,1
Feather,2
Fur,3
Clinging,1
Dripping,1
Wet,2
Cross,3
Uncomfortable,4
Course,26
Consultation,1
Familiarly,1
Known,1
Argument,5
Last,32
Sulky,3
Older,2
Better,14
Allow,2
Knowing,2
Old,18
Positively,1
Refused,1
Authority,2
Ring,2
Fixed,1
Cold,1
Important,7
Driest,1
Whose,2
Favoured,1
Pope,1
Submitted,1
Wanted,4
Leader,1
Accustomed,1
Usurpation,1
Conquest,1
Earl,2
Shiver,1
Frowning,4
Politely,6
Proceed,2
Declared,1
Him,42
Patriotic,1
Archbishop,2
Advisable,2
Reply,34
Crossly,1
Mean,15
Frog,2
Worm,1
Notice,5
Hurriedly,2
Meet,2
Offer,2
Crown,3
Conduct,1
Moderate,1
Insolence,1
Continued,9
Turning,12
Melancholy,6
Solemnly,4
Rising,1
Move,3
Meeting,1
Adjourn,1
Immediate,1
Adoption,1
Energetic,1
Remedy,1
Meaning,8
Believe,9
Bent,1
Hide,1
Smile,2
Tittered,1
Audibly,1
Race,5
Paused,1
Inclined,1
Explain,8
Winter,1
Circle,1
Exact,1
Shape,1
Placed,1
Running,8
Liked,6
Easy,2
Hour,6
Panting,2
Has,6
Pressed,3
Forehead,2
Position,2
Rest,10
Silence,11
Prizes,3
Chorus,5
Voices,3
Asked,17
Pointing,4
Calling,1
Confused,4
Despair,1
Pulled,1
Comfit,2
Luckily,1
Handed,3
Exactly,5
Piece,6
Prize,1
Gravely,3
Thimble,4
Presented,1
Acceptance,1
Elegant,1
Short,4
Speech,3
Cheered,3
Absurd,2
Grave,3
Dare,5
Laugh,1
Simply,3
Bowed,4
Solemn,3
Caused,2
Noise,3
Confusion,5
Complained,1
Ones,1
Choked,3
Patted,1
Begged,1
Promised,1
Added,23
Whisper,4
Sad,3
Tale,3
Sighing,3
Call,5
Attending,3
Humbly,2
Fifth,1
Bend,2
Angrily,9
Knot,2
Undo,1
Insult,1
Pleaded,3
Easily,3
Growled,1
Finish,5
