,0
To,2094
Mrs,4
Saville,4
England,21
St,5
Petersburgh,3
Dec,1
11th,2
17,10
You,574
Will,194
Rejoice,1
Hear,19
That,1018
No,172
Disaster,4
Has,64
Accompanied,9
The,4194
Commencement,5
Of,2642
An,211
Enterprise,10
Which,558
Have,365
Regarded,6
With,667
Such,87
Evil,23
Forebodings,2
I,2850
Arrived,29
Here,35
Yesterday,4
And,2976
My,1776
First,108
Task,19
Is,307
Assure,5
Dear,72
Sister,28
Welfare,2
Increasing,1
Confidence,4
In,1129
Success,12
Undertaking,13
Am,126
Already,32
Far,39
North,12
London,8
As,528
Walk,6
Streets,6
Feel,50
A,1391
Cold,31
Northern,6
Breeze,10
Play,7
Upon,126
Cheeks,7
Braces,1
Nerves,3
Fills,5
Me,868
Delight,32
Do,118
Understand,16
This,402
Feeling,27
Travelled,6
From,385
Regions,6
Towards,94
Advancing,4
Gives,6
Foretaste,1
Those,91
Icy,3
Climes,1
Inspirited,3
By,460
Wind,27
Promise,22
Daydreams,2
Become,33
More,165
Fervent,2
Vivid,3
Try,4
Vain,13
Be,360
Persuaded,7
Pole,4
Seat,5
Frost,5
Desolation,6
It,547
Ever,85
Presents,3
Itself,22
Imagination,23
Region,4
Beauty,27
There,81
Margaret,10
Sun,45
For,498
Visible,6
Its,123
Broad,2
Disk,2
Just,19
Skirting,1
Horizon,6
Diffusing,1
Perpetual,5
Splendour,1
Your,252
Leave,22
Put,15
Some,147
Trust,6
Preceding,6
Navigators,3
Snow,16
Are,176
Banished,5
Sailing,1
Over,58
Calm,20
Sea,34
We,174
May,99
Wafted,4
Land,20
Surpassing,2
Wonders,5
Every,109
Hitherto,12
Discovered,34
On,460
Habitable,1
Globe,2
Productions,2
Features,7
Without,30
Example,2
Phenomena,2
Heavenly,4
Bodies,3
Undoubtedly,1
Undiscovered,2
Solitudes,1
What,132
Not,510
Expected,12
Country,54
Eternal,11
Light,42
Discover,16
Wondrous,7
Power,39
Attracts,1
Needle,1
Regulate,2
Thousand,27
Celestial,5
Observations,1
Require,1
Only,123
Voyage,15
Render,10
Their,186
Seeming,2
Eccentricities,1
Consistent,1
Shall,105
Satiate,1
Ardent,10
Curiosity,14
Sight,25
Part,39
World,45
Never,69
Before,146
Visited,17
Tread,3
Imprinted,2
Foot,5
Man,137
These,154
Enticements,2
They,210
Sufficient,20
Conquer,1
All,200
Fear,40
Danger,12
Or,176
Death,79
Induce,4
Commence,13
Laborious,3
Joy,42
Child,35
Feels,2
When,328
He,608
Embarks,1
Little,58
Boat,17
His,535
Holiday,1
Mates,1
Expedition,4
Discovery,18
Up,70
Native,28
River,12
But,687
Supposing,2
Conjectures,1
False,5
Cannot,46
Contest,1
Inestimable,1
Benefit,7
Confer,1
Mankind,11
Last,33
Generation,2
Discovering,3
Passage,9
Near,39
Countries,3
Reach,5
At,317
Present,30
So,210
Many,68
Months,39
Requisite,1
Ascertaining,1
Secret,13
Magnet,1
If,194
Possible,11
Can,93
Effected,1
Mine,29
Reflections,16
Dispelled,1
Agitation,14
Began,28
Letter,24
Heart,81
Glow,1
Enthusiasm,11
Elevates,2
Heaven,22
Nothing,39
Contributes,1
Much,44
Tranquillise,1
Mind,85
Steady,2
Purpose,18
Point,14
Soul,38
Fix,3
Intellectual,1
Eye,18
Been,190
Favourite,13
Dream,18
Early,15
Years,44
Read,28
Ardour,13
Accounts,3
Various,26
Voyages,4
Made,70
Prospect,13
Arriving,1
Pacific,1
Ocean,13
Through,47
Seas,6
Surround,4
Remember,21
History,19
Purposes,3
Composed,5
Whole,32
Our,126
Good,37
Uncle,10
Thomas,2
Library,2
Education,6
Was,1021
Neglected,7
Yet,152
Passionately,1
Fond,6
Reading,3
Volumes,2
Were,308
Study,19
Day,82
Night,93
Familiarity,1
Them,127
Increased,12
Regret,7
Had,686
Felt,80
Learning,3
Father,134
S,86
Dying,6
Injunction,1
Forbidden,3
Allow,13
Embark,1
Seafaring,1
Life,115
Visions,5
Faded,1
Perused,1
Time,98
Poets,4
Whose,50
Effusions,1
Entranced,1
Lifted,1
Also,66
Became,61
Poet,1
One,206
Year,8
Lived,23
Paradise,5
Own,107
Creation,19
Imagined,9
Might,108
Obtain,7
Niche,1
Temple,1
Where,77
Names,16
Homer,1
Shakespeare,1
Consecrated,1
Well,49
Acquainted,20
Failure,3
How,94
Heavily,3
Bore,7
Disappointment,7
Inherited,2
Fortune,9
Cousin,25
Thoughts,38
Turned,24
Into,124
Channel,1
Earlier,3
Bent,9
Six,4
Passed,67
Since,27
Resolved,32
Even,94
Now,155
Hour,25
Dedicated,3
Myself,136
Great,50
Commenced,7
Inuring,1
Body,23
Hardship,2
Whale,3
Fishers,1
Several,51
Expeditions,1
Voluntarily,1
Endured,23
Famine,2
Thirst,14
Want,12
Sleep,21
Often,55
Worked,8
Harder,1
Than,110
Common,5
Sailors,10
During,67
Devoted,14
Nights,5
Mathematics,3
Theory,4
Medicine,1
Branches,12
Physical,3
Science,28
Naval,1
Adventurer,1
Derive,2
Greatest,27
Practical,3
Advantage,4
Twice,2
Actually,2
Hired,7
Under,26
Mate,4
Greenland,1
Whaler,1
Acquitted,2
Admiration,14
Must,64
Proud,2
Captain,5
Offered,2
Second,4
Dignity,4
Vessel,17
Entreated,6
Remain,21
Earnestness,3
Valuable,3
Did,119
Consider,9
Services,3
Deserve,3
Accomplish,2
Ease,3
Luxury,4
Preferred,1
Glory,7
Enticement,1
Wealth,7
Placed,28
Path,20
Oh,28
Encouraging,1
Voice,46
Would,184
Answer,21
Affirmative,2
Courage,18
Resolution,8
Firm,7
Hopes,23
Fluctuate,1
Spirits,31
Depressed,4
About,53
Proceed,8
Long,48
Difficult,2
Emergencies,1
Demand,10
Fortitude,5
Required,6
Raise,6
Others,25
Sometimes,60
Sustain,6
Theirs,4
Failing,4
Most,88
Favourable,7
Period,16
Travelling,1
Russia,2
Fly,7
Quickly,26
Sledges,1
Motion,6
Pleasant,12
Opinion,3
Agreeable,5
English,8
Stagecoach,1
Excessive,3
Wrapped,4
Furs,2
Dress,6
Adopted,1
Difference,5
Between,20
Walking,7
Deck,8
Remaining,6
Seated,4
Motionless,6
Hours,34
Exercise,6
Prevents,2
Blood,19
Freezing,1
Veins,4
Ambition,8
Lose,8
Post,3
Road,6
Archangel,5
Depart,9
Latter,13
Town,26
Fortnight,5
Three,11
Weeks,6
Intention,3
Hire,1
Ship,8
Easily,18
Done,9
Paying,1
Insurance,1
Owner,1
Engage,3
Think,29
Necessary,18
Among,51
Who,174
Accustomed,10
Fishing,5
Intend,6
Sail,5
Until,52
Month,9
June,1
Return,49
Ah,7
Question,8
Succeed,6
Perhaps,21
Pass,16
Meet,12
Fail,7
See,50
Again,83
Soon,71
Farewell,10
Excellent,15
Shower,1
Down,34
Blessings,2
Save,7
Testify,1
Gratitude,8
Love,59
Kindness,27
Affectionate,7
Brother,24
R,2
Walton,8
28th,1
March,4
Slowly,3
Passes,2
Encompassed,4
Step,7
Taken,33
Occupied,24
Collecting,5
Whom,80
Engaged,18
Appear,22
Men,44
Depend,2
Certainly,12
Possessed,36
Dauntless,2
Able,9
Satisfy,7
Absence,8
Object,21
Severe,5
Friend,71
Glowing,1
None,19
Participate,2
Assailed,1
Endeavour,12
Dejection,2
Commit,3
Paper,2
True,21
Poor,45
Medium,1
Communication,3
Desire,28
Company,6
Could,197
Sympathise,4
Eyes,104
Reply,4
Deem,1
Romantic,4
Bitterly,10
Gentle,35
Courageous,1
Cultivated,3
Capacious,1
Tastes,3
Like,63
Approve,2
Amend,1
Plans,7
Repair,1
Faults,1
Too,30
Execution,8
Impatient,4
Difficulties,2
Still,68
Greater,25
Self,16
Educated,3
Fourteen,1
Ran,7
Wild,12
Books,12
Age,12
Celebrated,2
Ceased,11
Important,1
Benefits,1
Conviction,6
Perceived,26
Necessity,5
Becoming,4
Languages,5
Twenty,5
Eight,4
Reality,10
Illiterate,1
Schoolboys,1
Fifteen,2
Thought,74
Extended,2
Magnificent,8
Painters,1
Call,13
Keeping,2
Greatly,12
Need,8
Sense,12
Enough,12
Despise,2
Affection,40
Useless,9
Complaints,2
Find,23
Wide,7
Nor,35
Merchants,1
Seamen,1
Feelings,76
Unallied,1
Dross,1
Human,58
Nature,53
Beat,5
Rugged,4
Bosoms,1
Lieutenant,2
Instance,1
Wonderful,17
Madly,1
Desirous,3
Rather,27
Word,13
Phrase,1
Characteristically,1
Advancement,1
Profession,2
Englishman,2
Midst,3
National,1
Professional,1
Prejudices,2
Unsoftened,1
Cultivation,4
Retains,1
Noblest,1
Endowments,1
Humanity,6
Him,222
Board,6
Finding,8
Unemployed,1
City,12
Assist,6
Master,8
Person,17
Disposition,6
Remarkable,2
Gentleness,10
Mildness,3
Discipline,1
Circumstance,10
Added,7
Known,14
Integrity,3
Very,75
Youth,21
Solitude,15
Best,12
Spent,25
Feminine,2
Fosterage,1
Refined,3
Groundwork,1
Character,7
Overcome,16
Intense,7
Distaste,1
Usual,5
Brutality,2
Exercised,2
Believed,13
Heard,62
Mariner,3
Equally,4
Noted,1
Kindliness,1
Respect,5
Obedience,1
Paid,6
Crew,1
Peculiarly,5
Fortunate,7
Being,97
Secure,7
Manner,31
Lady,11
Owes,1
Happiness,49
Her,373
Briefly,2
Story,13
Ago,7
Loved,30
Young,30
Russian,1
Moderate,4
Having,25
Amassed,1
Considerable,8
Sum,5
Prize,3
Money,10
Girl,28
Consented,5
Match,1
Saw,94
Mistress,3
Once,32
Destined,5
Ceremony,3
She,255
Bathed,1
Tears,32
Throwing,2
Herself,14
Feet,13
Spare,3
Confessing,1
Same,63
Another,47
Consent,12
Union,16
Generous,6
Reassured,1
Suppliant,1
Informed,4
Name,15
Lover,8
Instantly,16
Abandoned,3
Pursuit,16
Bought,3
Farm,1
Designed,1
Remainder,5
Bestowed,13
Rival,1
Together,9
Remains,13
Purchase,1
Stock,3
Then,109
Himself,37
Solicited,2
Woman,24
Marriage,15
Old,50
Decidedly,1
Refused,3
Thinking,2
Bound,15
Honour,11
Found,87
Inexorable,3
Quitted,22
Returned,31
Former,14
Married,4
According,3
Inclinations,2
Noble,11
Fellow,30
Exclaim,1
Wholly,3
Uneducated,1
Silent,15
Turk,10
Kind,34
Ignorant,10
Carelessness,3
Attends,1
While,68
Renders,4
Conduct,8
Astonishing,8
Detracts,1
Interest,14
Sympathy,19
Otherwise,8
Command,5
Suppose,7
Because,17
Complain,1
Conceive,10
Consolation,18
Toils,8
Know,49
Wavering,1
Resolutions,2
Fixed,24
Fate,18
Delayed,5
Weather,9
Permit,5
Embarkation,2
Winter,13
Dreadfully,3
Spring,12
Promises,2
Considered,11
Remarkably,3
Season,9
Sooner,4
Rashly,3
Sufficiently,3
Confide,4
Prudence,1
Considerateness,1
Whenever,1
Safety,10
Committed,12
Care,22
Describe,15
Sensations,32
Impossible,8
Communicate,2
Conception,6
Trembling,6
Sensation,12
Half,22
Pleasurable,2
Fearful,9
Preparing,4
Going,8
Unexplored,2
Mist,5
Kill,2
Albatross,1
Therefore,37
Alarmed,6
Should,153
Come,37
Back,15
Worn,3
Woeful,2
Ancient,10
Smile,9
Allusion,2
Disclose,3
Attributed,4
Attachment,5
Passionate,3
Dangerous,5
Mysteries,2
Production,1
Imaginative,1
Modern,10
Something,17
Work,33
Practically,1
Industrious,1
Painstaking,1
Workman,1
Execute,3
Perseverance,2
Labour,15
Besides,13
Marvellous,3
Belief,3
Intertwined,1
Projects,3
Hurries,1
Out,39
Pathways,1
Unvisited,1
Explore,2
Dearer,5
Considerations,1
After,78
Traversed,6
Immense,7
Southern,3
Cape,1
Africa,1
America,3
Dare,13
Expect,7
Bear,6
Look,20
Reverse,2
Picture,11
Continue,8
Write,11
Opportunity,5
Receive,7
Letters,17
Occasions,2
Support,13
Tenderly,5
Robert,1
July,3
7th,3
Few,61
Lines,3
Haste,1
Say,23
Safe,7
Advanced,13
Merchantman,1
Homeward,1
However,32
Bold,2
Apparently,10
Floating,1
Sheets,1
Ice,43
Continually,18
Us,60
Indicating,1
Dangers,5
Dismay,2
Reached,7
High,19
Latitude,1
Height,4
Summer,8
Although,53
Warm,9
Gales,2
Blow,4
Speedily,7
Shores,5
Ardently,10
Attain,1
Breathe,3
Degree,24
Renovating,1
Warmth,11
Incidents,6
Befallen,3
Make,36
Figure,11
Two,38
Stiff,1
Springing,1
Leak,1
Accidents,5
Experienced,11
Scarcely,13
Record,6
Content,7
Worse,4
Happen,2
Adieu,2
Assured,11
Sake,8
Yours,4
Encounter,5
Cool,2
Persevering,1
Prudent,1
Crown,3
Endeavours,7
Wherefore,3
Thus,65
Gone,13
Tracing,1
Way,18
Pathless,1
Stars,11
Themselves,12
Witnesses,9
Testimonies,1
Triumph,6
Why,35
Untamed,1
Obedient,1
Element,3
Stop,1
Determined,18
Swelling,3
Involuntarily,2
Pours,1
Finish,4
Bless,6
Beloved,26
W,1
August,6
5th,2
Strange,32
Accident,6
Happened,9
Forbear,2
Recording,3
Probable,4
Papers,8
Possession,8
Monday,1
31st,1
Nearly,29
Surrounded,18
Closed,7
Sides,10
Leaving,4
Room,32
Floated,2
Situation,10
Somewhat,5
Especially,3
Compassed,1
Round,12
Thick,7
Fog,1
Accordingly,11
Lay,28
Hoping,2
Change,28
Take,22
Place,64
Atmosphere,3
O,10
Clock,8
Cleared,3
Away,50
Beheld,31
Stretched,8
Direction,6
Vast,11
Irregular,2
Plains,3
Seemed,36
End,22
Comrades,2
Groaned,2
Grow,1
Watchful,4
Anxious,5
Suddenly,26
Attracted,6
Attention,22
Diverted,2
Solicitude,1
Low,6
Carriage,3
Sledge,13
Drawn,4
Dogs,7
Distance,15
Mile,2
Shape,7
Gigantic,6
Stature,7
Sat,25
Guided,5
Watched,4
Rapid,6
Progress,19
Traveller,5
Telescopes,1
Lost,34
Distant,10
Inequalities,2
Appearance,30
Excited,12
Unqualified,1
Wonder,21
Hundred,3
Miles,6
Any,84
Apparition,5
Denote,1
Supposed,10
Shut,12
Follow,10
Track,3
Observed,21
Occurrence,3
Ground,26
Broke,5
Freed,4
Morning,39
Fearing,3
Dark,28
Large,8
Loose,7
Masses,1
Float,1
Breaking,3
Profited,2
Rest,33
Went,20
Busy,7
Side,8
Talking,2
Someone,5
Fact,4
Seen,20
Drifted,1
Fragment,2
Dog,2
Remained,32
Alive,9
Within,31
Persuading,2
Enter,21
Other,76
Savage,3
Inhabitant,1
Island,5
European,2
Appeared,57
Said,102
Perish,6
Open,14
Perceiving,6
Stranger,22
Addressed,13
Foreign,2
Accent,4
Inform,3
Whither,5
Astonishment,6
Hearing,6
Brink,3
Destruction,22
Resource,4
Exchanged,4
Precious,3
Earth,36
Afford,10
Replied,27
Satisfied,12
God,22
Capitulated,1
Surprise,9
Boundless,3
Limbs,12
Frozen,4
Emaciated,3
Fatigue,12
Suffering,5
Wretched,24
Condition,8
Attempted,9
Carry,2
Cabin,9
Fresh,11
Air,27
Fainted,6
Brought,28
Restored,16
Animation,7
Rubbing,1
Brandy,1
Forcing,1
Swallow,1
Small,16
Quantity,7
Showed,7
Signs,6
Blankets,1
Chimney,2
Kitchen,1
Stove,1
Slow,7
Degrees,12
Recovered,14
Ate,4
Soup,1
Wonderfully,1
Days,47
Speak,15
Feared,13
Sufferings,14
Deprived,11
Understanding,5
Measure,3
Removed,4
Attended,9
Duty,11
Interesting,6
Creature,44
Generally,6
Expression,15
Wildness,3
Madness,9
Moments,17
Anyone,4
Performs,1
Act,11
Does,15
Trifling,2
Service,3
Countenance,39
Lighted,5
Beam,1
Benevolence,7
Sweetness,3
Equalled,2
Melancholy,19
Despairing,3
Gnashes,1
Teeth,8
Weight,7
Woes,2
Oppresses,1
Guest,8
Trouble,3
Keep,5
Off,12
Wished,20
Ask,10
Questions,6
Tormented,5
Idle,3
State,24
Restoration,1
Evidently,3
Depended,4
Entire,3
Repose,10
Asked,16
Vehicle,1
Assumed,5
Aspect,7
Deepest,2
Gloom,11
Seek,26
Fled,12
Pursued,13
Travel,4
Fashion,2
Yes,5
Fancy,11
Picked,1
Drawing,5
Across,17
Aroused,1
Multitude,6
Concerning,24
Route,2
Dã,20
Mon,18
Called,26
Alone,44
Doubtless,8
People,11
Considerate,1
Inquiries,5
Indeed,56
Impertinent,1
Inhuman,1
Inquisitiveness,1
Rescued,1
Perilous,1
Benevolently,1
Inquired,5
Destroyed,23
Certainty,5
Broken,12
Midnight,5
Judge,8
New,39
Spirit,34
Animated,7
Decaying,1
Frame,14
Manifested,2
Eagerness,5
Watch,8
Weak,5
Rawness,1
Promised,13
Give,20
Instant,13
Notice,5
Journal,4
Relates,3
Gradually,6
Improved,8
Health,19
Appears,7
Uneasy,3
Except,11
Enters,1
Manners,19
Conciliating,2
Interested,5
Begin,6
Constant,5
Deep,19
Grief,28
Compassion,11
Better,13
Wreck,5
Attractive,2
Amiable,14
Misery,54
Happy,46
Intervals,3
13th,1
Increases,1
Excites,1
Pity,11
Poignant,2
Wise,1
Speaks,2
Words,54
Culled,1
Choicest,1
Art,7
Flow,3
Rapidity,2
Unparalleled,5
Eloquence,5
Illness,9
Watching,13
Preceded,3
Unhappy,19
Utterly,11
Interests,2
Deeply,20
Frequently,5
Conversed,3
Communicated,6
Disguise,1
Entered,38
Attentively,3
Arguments,7
Favour,6
Eventual,1
Minute,7
Detail,8
Measures,2
Led,18
Evinced,1
Use,9
Language,19
Utterance,3
Burning,10
Fervour,3
Warmed,5
Gladly,1
Sacrifice,5
Existence,31
Hope,50
Furtherance,1
Price,2
Pay,3
Acquirement,2
Knowledge,33
Sought,18
Dominion,1
Acquire,2
Transmit,1
Elemental,1
Foes,1
Race,6
Spoke,25
Spread,3
Listener,2
Tried,14
Suppress,2
Emotion,3
Hands,38
Quivered,1
Failed,8
Trickle,1
Fast,4
Fingers,5
Groan,2
Burst,8
Heaving,1
Breast,3
Paused,14
Length,27
Accents,6
Share,4
Drunk,2
Intoxicating,1
Draught,2
Let,28
Reveal,2
Tale,32
Dash,2
Cup,3
Lips,18
Imagine,4
Strongly,8
Paroxysm,1
Seized,16
Overcame,7
Weakened,2
Powers,15
Tranquil,7
Conversation,18
Restore,9
Composure,4
Conquered,2
Violence,10
Slave,6
Passion,18
Quelling,1
Tyranny,1
Despair,49
Converse,4
Personally,2
Told,14
Awakened,3
Trains,1
Reflection,13
Intimate,3
Fallen,9
Lot,5
Expressed,26
Boast,3
Enjoy,9
Blessing,4
Agree,1
Unfashioned,1
Creatures,25
Wiser,1
Ourselves,4
Ought,13
Lend,1
Aid,10
Perfectionate,1
Faulty,1
Natures,2
Entitled,1
Respecting,1
Friendship,7
Cause,34
Everything,6
Anew,3
Expressive,7
Settled,2
Touched,5
Presently,14
Retired,17
Beauties,3
Starry,1
Sky,14
Afforded,5
Seem,4
Elevating,2
Double,2
Suffer,11
Overwhelmed,5
Disappointments,1
Halo,1
Around,34
Circle,2
Folly,2
Ventures,1
Express,9
Divine,12
Wanderer,2
Tutored,1
Retirement,1
Fastidious,1
Fit,7
Appreciate,1
Extraordinary,1
Merits,3
Endeavoured,28
Quality,2
Possesses,1
Immeasurably,1
Above,13
Knew,32
Believe,33
Intuitive,1
Discernment,1
Quick,8
Judgment,4
Penetration,1
Causes,5
Things,9
Unequalled,1
Clearness,1
Precision,2
Add,4
Facility,1
Varied,3
Intonations,1
Subduing,1
Music,6
19th,1
Perceive,7
Suffered,21
Misfortunes,17
Memory,18
Evils,4
Die,24
Won,3
Alter,4
Determination,8
Wisdom,3
Gratification,3
Wishes,7
Serpent,1
Sting,4
Relation,5
Disasters,1
Useful,4
Reflect,17
Pursuing,4
Course,17
Exposing,1
Yourself,28
