,0
Will,192
Rejoice,1
To,2081
Hear,16
That,1018
No,148
Disaster,5
Has,63
Accompany,15
The,4194
Commencement,5
Of,2639
An,209
Enterprise,10
Which,558
You,499
Have,358
Regarded,6
With,659
Such,73
Evil,26
Foreboding,2
I,2850
Arrived,29
Here,28
Yesterday,3
And,2976
My,1635
First,108
Task,19
Is,302
Assure,5
Dear,66
Sister,26
Welfare,2
Increasing,1
Confidence,4
In,1081
Success,12
Undertaking,13
Am,124
Already,32
Far,39
North,10
As,482
Walk,9
Street,9
Feel,52
A,1391
Cold,30
Northern,6
Breeze,10
Play,7
Upon,124
Cheek,13
Braces,1
Nerves,3
Fill,10
Me,868
Delight,36
Understand,16
This,326
Feeling,103
Travelled,6
From,373
Region,10
Toward,96
Advancing,4
Gives,6
Foretaste,1
Those,88
Icy,3
Climes,1
By,444
Wind,35
Promise,22
Daydream,2
Become,33
More,163
Fervent,2
Vivid,3
Try,18
Vain,13
Be,353
Persuaded,7
Pole,4
Seat,4
Frost,6
Desolation,6
It,667
Ever,82
Present,33
Itself,22
Imagination,26
Beauty,30
Sun,45
For,473
Visible,6
Broad,2
Disk,2
Just,19
Skirting,1
Horizon,6
Diffusing,1
Perpetual,4
Splendour,1
Your,243
Leave,21
Put,15
Some,137
Trust,6
Preceding,6
Navigator,3
There,65
Snow,18
Are,170
Banished,5
Sailing,1
Over,57
Calm,20
Sea,32
We,117
May,93
Wafted,4
Land,21
Surpassing,2
Wonder,26
Every,104
Hitherto,12
Discovered,34
On,442
Habitable,1
Globe,2
Production,3
Features,7
Without,29
Example,2
Phenomena,2
Heavenly,4
Body,26
Undoubtedly,1
Undiscovered,2
Solitudes,1
What,132
Not,507
Expected,12
Country,57
Eternal,11
Light,43
Discover,16
Wondrous,7
Power,54
Attract,2
Needle,1
Regulate,2
Thousand,30
Celestial,5
Observation,1
Require,1
Only,122
Voyage,15
Render,14
Their,180
Seeming,2
Eccentricity,1
Consistent,1
Shall,99
Satiate,1
Ardent,10
Curiosity,14
Sight,31
Part,42
World,45
Never,66
Before,138
Visited,17
Tread,3
Imprinted,2
Foot,5
Man,133
Enticement,3
They,210
Sufficient,20
Conquer,1
All,189
Fear,48
Danger,17
Or,173
Death,81
Induce,4
Commence,13
Laborious,3
Joy,42
Child,34
When,328
He,608
Embark,2
Little,56
Boat,19
His,502
Holiday,1
Mates,1
Expedition,5
Discovery,25
Up,70
Native,28
River,17
Supposing,2
These,132
Conjectures,1
False,5
Cannot,46
Contest,1
Inestimable,1
Benefit,8
Confer,1
Mankind,11
Last,31
Generation,3
Discovering,3
Passage,9
Near,38
Reach,5
At,290
So,206
Many,66
Month,48
Requisite,1
Ascertaining,1
Secret,18
Magnet,1
If,194
Possible,11
Can,91
Effected,1
Mine,28
Reflection,29
Dispelled,1
Agitation,14
Began,28
Letter,41
Heart,85
Glow,1
Enthusiasm,11
Elevates,2
Heaven,31
Nothing,30
Contributes,1
Much,43
Tranquillise,1
Mind,90
Steady,2
Purpose,18
Point,15
Soul,40
Fix,3
Intellectual,1
Eye,18
Been,190
Favourite,13
Dream,30
Early,14
Year,51
Read,28
Ardour,13
Account,24
Various,26
Voyages,4
Made,70
Prospect,15
Arriving,1
Through,44
Seas,6
Surround,4
Remember,15
History,21
Purposes,3
Composed,5
Whole,32
Our,119
Good,31
Library,2
Education,6
Was,1018
Neglected,7
Yet,115
Passionately,1
Fond,6
Reading,3
Volumes,2
Were,307
Study,35
Day,80
Night,94
Familiarity,1
Them,127
Increased,12
Regret,7
Had,684
Felt,80
Learning,3
Father,134
Dying,6
Injunction,1
Forbidden,3
Uncle,8
Allow,13
Seafaring,1
Life,112
Vision,8
Faded,1
Perused,1
Time,97
Poet,5
Whose,50
Effusion,1
Entranced,1
Lifted,1
Also,66
Became,61
One,186
Lived,23
Paradise,2
Own,107
Creation,21
Imagined,9
Might,108
Obtain,7
Niche,1
Temple,1
Where,77
Names,16
Consecrated,1
Well,46
Acquainted,20
Failure,3
How,94
Heavily,3
Bore,7
Disappointment,8
Inherited,2
Fortune,9
Cousin,25
Thought,112
Turned,24
Into,124
Channel,1
Earlier,3
Bent,9
Passed,67
Since,25
Resolved,31
Even,81
Now,148
Hour,59
Dedicated,3
Myself,136
Great,45
Commenced,7
Inuring,1
Hardship,7
Whale,3
Fisher,1
Several,43
Voluntarily,1
Endured,23
Famine,2
Thirst,14
Want,15
Sleep,21
Often,51
Worked,8
Harder,1
Than,110
Common,5
Sailor,10
During,49
Devoted,14
Mathematic,3
Theory,5
Medicine,1
Branches,12
Physical,3
Science,28
Naval,1
Adventurer,1
Derive,2
Greatest,27
Practical,3
Advantage,4
Actually,2
Hired,7
Under,25
Mate,4
Whaler,1
Acquitted,2
Admiration,14
Must,63
Proud,2
Captain,4
Offered,2
Second,4
Dignity,4
Vessel,20
Entreated,6
Remain,34
Earnestness,3
Valuable,3
Did,115
Consider,9
Services,3
Do,95
Deserve,3
Accomplish,2
Ease,3
Luxury,5
But,549
Preferred,1
Glory,8
Wealth,6
Placed,28
Path,24
Encouraging,1
Voice,46
Would,183
Answer,21
Affirmative,2
Courage,18
Resolution,10
Firm,7
Hopes,23
Fluctuate,1
Spirit,65
Depressed,4
About,47
Proceed,8
Long,48
Difficult,2
Emergency,2
Demand,11
Fortitude,5
Required,6
Raise,6
Other,100
Sometimes,37
Sustain,6
Failing,4
Most,87
Favourable,7
Period,17
Travelling,1
Fly,7
Quickly,26
Sledges,1
Motion,9
Pleasant,12
