Myself,pronoun, the person who is speaking or writing:
Father,noun, a male parent
Eyes,noun, the part of the body that you see with
Feeling,noun, an awareness by your body of something in it or on it
Toward,preposition, in the direction of (something or someone)
Mind,noun," the part of a person that thinks, reasons, feels, and remembers"
Whom,pronoun,used in formal writing or speech
Passed,verb, to move past someone or something
Dear,adjective, loved or valued very much
Spirit,noun," the force within a person that is believed to give the body life, energy, and power"
Misery,noun, extreme suffering or unhappiness
Miserable,adjective, very unhappy
Heard,verb, to be aware of (sound) through the ear
Soon,adverb, at a time that is not long from now
Hour,noun, one of the 24 equal parts of a day  60 minutes
Appeared,verb,somewhat formal  to seem to be something  to make someone think that a person or thing has a particular characteristic
Mountain,noun, an area of land that rises very high above the land around it and that is higher than a hill
Moment,noun, a very short period of time
Indeed,adverb, without any question
Horror,noun," a very strong feeling of fear, dread, and shock"
Cottage,noun, a small house especially in the country
Whose,adjective,"used in questions to ask who owns something, has something, etc."
Thus,adverb, in this way or manner  like this
Manner,noun,somewhat formal  the way that something is done or happens
Hope,verb, to want something to happen or be true and think that it could happen or be true
Happiness,noun, the state of being happy
Fear,noun, an unpleasant emotion caused by being aware of danger  a feeling of being afraid
Affection,noun, a feeling of liking and caring for someone or something
Despair,noun, the feeling of no longer having any hope
Voice,noun," the sounds that you make with your mouth and throat when you are speaking, singing, etc."
Cannot,,used as the negative form of can
Happy,adjective," feeling pleasure and enjoyment because of your life, situation, etc."
Sensation,noun, a particular feeling or effect that your body experiences
Scene,noun, a division of an act in a play during which the action takes place in a single place without a break in time
Creature,noun, an animal of any type
Alone,adjective, without anyone or anything else  not involving or including anyone or anything else  separate from other people or things
Ice,noun, frozen water
Joy,noun, a feeling of great happiness
Companion,noun, a person or animal you spend time with or enjoy being with
Letter,noun, any one of the marks that are symbols for speech sounds in written language and that form an alphabet
Soul,noun, the spiritual part of a person that is believed to give life to the body and in many religions is believed to live forever
Countenance,noun,formal + literary  the appearance of a person's face  a person's expression
Wood,noun, the hard substance that makes up the stems and branches of trees and shrubs
Poor,adjective, having little money or few possessions  not having enough money for the basic things that people need to live properly
Entered,verb, to go or come into (something)
Therefore,adverb,somewhat formal  for that reason  because of that
Tear,verb," to separate (something) into parts by pulling it, cutting it, etc.  to rip, split, or open (something) quickly or violently"
Sometimes,adverb, at certain times
Pleasure,noun," a feeling of happiness, enjoyment, or satisfaction  a pleasant or pleasing feeling"
Morning,noun, the early part of the day  the time of day from sunrise until noon
Himself,pronoun," that same man, boy, or male animal:"
Almost,adverb, only a little less than
Seemed,verb," to appear to be something or to do something  to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Rest,noun," the part that is left when other people or things are gone, used, etc."
Possessed,adjective, controlled by a usually evil spirit
Kind,noun, a group of people or things that belong together or have some shared quality  a particular type or variety of person or thing
Journey,noun, an act of traveling from one place to another
Earth,noun, the planet on which we live
Delight,noun, a strong feeling of happiness  great pleasure or satisfaction
Wind,noun, a natural movement of air outside
Gentle,adjective, having or showing a kind and quiet nature  not harsh or violent
Remain,verb, to be left when the other parts are gone or have been used
Discovered,verb," to see, find, or become aware of (something) for the first time"
Continued,adjective, lasting or happening for a long time without interruption
Cause,noun," something or someone that produces an effect, result, or condition  something or someone that makes something happen or exist"
Object,noun, a thing that you can see and touch and that is not alive
Mother,noun, a female parent
Monster,noun, a strange or horrible imaginary creature
Idea,noun," a thought, plan, or suggestion about what to do"
Fiend,noun, an evil spirit  a demon or devil
Fellow,noun, a male person  a boy or man
Tale,noun, a story about imaginary events  an exciting or dramatic story
Sea,noun, the salt water that covers much of the Earth's surface (literary)
Remained,verb, to be left when the other parts are gone or have been used
Labour,noun, physical or mental effort
Believe,verb, to accept or regard (something) as true
Strange,adjective," different from what is usual, normal, or expected"
Sight,noun," the sense through which a person or animal becomes aware of light, color, etc., by using the eyes  the ability to see"
Returned,verb, to come or go to a place again  to come back or go back again
Resolved,adjective, feeling strong determination to do something
Nor,conjunction,used after a negative statement to introduce a related negative word or statement
Heaven,noun, the place where God lives and where good people go after they die according to some religions
Existence,noun, the state of existing: such as
Enemy,noun, someone who hates another  someone who attacks or tries to harm another
Thousand,noun," the number 1,000"
Peace,noun, a state in which there is no war or fighting
Passion,noun, a strong feeling of enthusiasm or excitement for something or about doing something
Nothing,pronoun, not anything  not a thing
Loved,verb, to feel great affection for (someone)  to feel love for (someone)
Dream,noun," a series of thoughts, visions, or feelings that happen during sleep"
Cold,adjective, having a very low temperature
Appearance,noun,somewhat formal  the way that someone or something looks
Agony,noun, extreme mental or physical pain
Reflection,noun, an image that is seen in a mirror or on a shiny surface
Nearly,adverb, not completely  almost but not quite
Looked,verb, to direct your eyes in a particular direction
Grief,noun, deep sadness caused especially by someone's death
Brother,noun, a boy or man who has one or both of the same parents as you
Arrived,verb," to come to or reach a place after traveling, being sent, etc."
Appear,verb,somewhat formal  to seem to be something  to make someone think that a person or thing has a particular characteristic
Yourself,pronoun, the person that is being addressed:
Placed,verb, to put (something or someone) in a particular place or position
Native,adjective, born in a particular place
Mine,pronoun, that which belongs to me  my one  my ones
Lay,verb, to place (someone or something) down gently in a flat position
Desire,verb,somewhat formal  to want or wish for (something)  to feel desire for (something)
Dark,adjective, having very little or no light
Rather,adverb, to some degree or extent
Occupy,verb,"somewhat formal  to live in (a house, apartment, etc.)"
Murderer,verb, to kill (a person) in a deliberate and unlawful way  to commit the murder of (someone)
Length,noun, the distance from one end of something to the other end  a measurement of how long something is
Kindness,noun, the quality or state of being kind
Hardly,adverb,
Greatest,adjective, very large in size  very big
Beautiful,adjective, having beauty: such as
Wonder,noun," something or someone that is very surprising, beautiful, amazing, etc."
Stranger,noun, someone who you have not met before or do not know
Sister,noun, a girl or woman who has one or both of the same parents as you
Quickly,adverb, in a fast or quick manner
Perceived,verb,formal  to notice or become aware of (something)
Lovely,adjective, attractive or beautiful especially in a graceful way
Imagination,noun, the ability to imagine things that are not real  the ability to form a picture in your mind of something that you have not seen or experienced
Ground,noun,the ground  the surface of the earth
Expressed,verb, to talk or write about (something that you are thinking or feeling)
Evil,adjective, morally bad
Attention,noun," the act or power of carefully thinking about, listening to, or watching someone or something"
Spent,adjective, used up and no longer useful
Seek,verb, to search for (someone or something)  to try to find (someone or something)
Rage,noun, a strong feeling of anger that is difficult to control
Greater,adjective, consisting of a central city and the surrounding areas that are connected with it
Door,noun," a movable piece of wood, glass, or metal that swings or slides open and shut so that people can enter or leave a room, building, vehicle, etc."
Discovery,noun, the act of finding or learning something for the first time  the act of discovering something
Desired,verb,somewhat formal  to want or wish for (something)  to feel desire for (something)
Creatures,noun, an animal of any type
Cousin,noun, a child of your uncle or aunt
Wretch,noun, a very unhappy or unlucky person
Woman,noun, an adult female human being
Turned,verb, to move around a central point
Revenge,noun, the act of doing something to hurt someone because that person did something that hurt you
Path,noun, a track that is made by people or animals walking over the ground
Pain,noun," the physical feeling caused by disease, injury, or something that hurts the body"
Fixed,adjective,used to describe something that does not change
Die,verb, to stop living
Degree,noun, a unit for measuring temperature
Cottager,noun, a person who lives in a cottage
Beloved,adjective, very much loved  dearly loved
Wretched,adjective," very unhappy, ill, etc."
Wish,verb, to want (something) to be true or to happen
Sympathy,noun," the feeling that you care about and are sorry about someone else's trouble, grief, misfortune, etc.  a sympathetic feeling"
Suddenly,adverb, very quickly in usually an unexpected way  in a sudden way
Longer,adjective, extending a great distance from one end to the other end  not short
Lived,combining form, having a life of a specified length
Hopes,verb, to want something to happen or be true and think that it could happen or be true
Filled,verb, to make (something) full
Endured,verb, to continue to exist in the same state or condition
Destroyed,verb, to cause (something) to end or no longer exist  to cause the destruction of (something)  to damage (something) so badly that it cannot be repaired
Dead,adjective, no longer alive or living  no longer having life
Concerning,preposition, relating to (something or someone)
Anguish,noun," extreme suffering, grief, or pain"
Sweet,adjective, containing a lot of sugar
Quitted,verb,"informal  to leave (a job, school, career, etc.)"
Promise,noun, a statement telling someone that you will definitely do something or that something will definitely happen in the future
Murder,noun, the crime of deliberately killing a person
Itself,pronoun, that same one:
Followed,verb, to go or come after or behind (someone or something)
Duty,noun, something that is done as part of a job
Youth,noun, the time of life when someone is young  the time when a young person has not yet become an adult
Vengeance,noun, the act of doing something to hurt someone because that person did something that hurt you or someone else
Unable,adjective, not able to do something
Suffered,verb," to experience pain, illness, or injury"
Spot,noun, a small area of a surface that is different from other areas
Sleep,verb, to rest your mind and body by closing your eyes and becoming unconscious
Observed,verb, to watch and sometimes also listen to (someone or something) carefully
Moon,noun,the moon  the large round object that circles the Earth and that shines at night by reflecting light from the sun
Leave,verb, to go away from (a place)
Formed,verb, to cause (something) to have a particular shape or form
Destruction,noun, the act or process of damaging something so badly that it no longer exists or cannot be repaired  the act or process of destroying something
Creation,noun, the act of making or producing something that did not exist before  the act of creating something
Cloud,noun, a white or gray mass in the sky that is made of many very small drops of water
Answer,noun, something you say or write when someone asks you a question
Wished,verb, to want (something) to be true or to happen
Victim,noun," a person who has been attacked, injured, robbed, or killed by someone else"
Vessel,noun,formal  a ship or large boat
Trees,noun," a usually tall plant that has a thick, wooden stem and many large branches"
Sufficient,adjective,somewhat formal  having or providing as much as is needed
Pursuit,noun, the act of pursuing someone or something: such as
Murdered,verb, to kill (a person) in a deliberate and unlawful way  to commit the murder of (someone)
Ill,adjective, not well or healthy  sick or unhealthy
Entirely,adjective, complete or full  not lacking or leaving out any part
Destroy,verb, to cause (something) to end or no longer exist  to cause the destruction of (something)  to damage (something) so badly that it cannot be repaired
Deeply,adverb," in a way that is very complete, extreme, strongly felt, etc.  in a deep way"
Conversation,noun, an informal talk involving two people or a small group of people  the act of talking in an informal way
Calm,adjective," not angry, upset, excited, etc."
Allowed,verb, to permit (something)  to regard or treat (something) as acceptable
Acquainted,adjective,formal  having knowledge about something  having seen or experienced something
Task,noun, a piece of work that has been given to someone  a job for someone to do
Suffering,noun," pain that is caused by injury, illness, loss, etc.  physical, mental, or emotional pain"
Sorrow,noun, a feeling of sadness or grief caused especially by the loss of someone or something
Son,noun, a male child
Satisfy,verb, to cause (someone) to be happy or pleased
Progress,noun, movement forward or toward a place
Occupation,noun, the work that a person does  a person's job or profession
Mon,abbreviation,Monday
Learned,adjective,"formal  having or showing a lot of learning, education, or knowledge"
Innocent,adjective, not guilty of a crime or other wrong act
Forth,adverb, out into notice or view
Exclaimed,verb, to say (something) in an enthusiastic or forceful way
Endeavour,verb,formal  to seriously or continually try to do (something)
Deep,adjective, having a large distance to the bottom from the surface or highest point
Dared,verb, to have enough courage or confidence to do something  to not be too afraid to do something
Cry,verb," to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions"
Creator,noun, a person who makes something new
Boat,noun, a small vehicle that is used for traveling on water
Blood,noun, the red liquid that flows through the bodies of people and animals
Approached,verb, to move or become near or nearer to something or someone
Unhappy,adjective," sad, depressed, or disappointed  not happy"
Thy,adjective,old-fashioned + literary
Surrounded,verb, to be on every side of (someone or something)
Snow,noun," soft, white pieces of frozen water that fall to the ground from the sky in cold weather"
Secret,adjective, kept hidden from others  known to only a few people
Rendered,verb,formal  to cause (someone or something) to be in a specified condition
Reflect,verb,"of light, sound, etc.  to move in one direction, hit a surface, and then quickly move in a different and usually opposite direction"
Purpose,noun, the reason why something is done or used  the aim or intention of something
Proceeded,verb, to continue to do something
Opened,verb," to move (a door, window, etc.) so that an opening is no longer covered"
Necessary,adjective, so important that you must do it or have it  absolutely needed
Melancholy,noun,old-fashioned + literary  a sad mood or feeling
Lip,noun, either one of the two soft parts that surround the mouth
Innocence,noun, the state of being innocent: such as
Fate,noun, a power that is believed to control what happens in the future
Eye,noun, the part of the body that you see with
Engaged,adjective, promised to be married
Endure,verb, to continue to exist in the same state or condition
Easily,adverb, in an easy manner  without difficulty
Determined,adjective, having a strong feeling that you are going to do something and that you will not allow anyone or anything to stop you
Departure,noun, the act of departing: such as
Covered,adjective, having a cover or lid
Courage,noun, the ability to do something that you know is difficult or dangerous
Continually,adjective, happening without interruption  not stopping or ending
Consolation,noun," something that makes a person feel less sadness, disappointment, etc."
Wonderful,adjective, extremely good
Visited,verb," to go somewhere to spend time with (someone, such as a friend or relative)"
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Retired,adjective, not working anymore  having ended your working or professional career
Quit,verb,"informal  to leave (a job, school, career, etc.)"
Pursue,verb, to follow and try to catch or capture (someone or something) for usually a long distance or time
Misfortunes,noun, bad luck
Expression,noun," the act of making your thoughts, feelings, etc., known by speech, writing, or some other method  the act of expressing something"
Danger,noun, the possibility that you will be hurt or killed
Afterward,adverb, at a later time  after something has happened
Across,preposition, from one side to the other side of (something)
Walked,verb, to move with your legs at a speed that is slower than running
Union,noun, an organization of workers formed to protect the rights and interests of its members
Understand,verb," to know the meaning of (something, such as the words that someone is saying or a language)"
Sky,noun," the space over the Earth where the sun, moon, stars, and clouds appear"
Shore,noun," the land along the edge of an area of water (such as an ocean, lake, etc.)"
Seized,verb, to use legal or official power to take (something)
Scenes,noun, a division of an act in a play during which the action takes place in a single place without a break in time
Restored,verb, to give back (someone or something that was lost or taken)  to return (someone or something)
Rain,noun, water that falls in drops from clouds in the sky
Pass,verb, to move past someone or something
Overcome,verb, to defeat (someone or something)
Names,noun, a word or phrase that refers to or that can refer to a specific person
Misfortune,noun, bad luck
Instrument,noun, a tool or device used for a particular purpose especially  a tool or device designed to do careful and exact work
Instantly,adverb, without delay
Hear,verb, to be aware of (sound) through the ear
Extreme,adjective, very great in degree
Effect,noun," a change that results when something is done or happens  an event, condition, or state of affairs that is produced by a cause"
Discover,verb," to see, find, or become aware of (something) for the first time"
Dearest,adjective, loved or valued very much
Crime,noun, an illegal act for which someone can be punished by the government
Bitter,adjective, having a strong and often unpleasant flavor that is the opposite of sweet
Bed,noun, a piece of furniture that people sleep on
Asked,verb, to say or write something to someone as a way of gaining information  to request an answer to a question
Wild,adjective,of an animal  living in nature without human control or care  not tame
Voyage,noun, a long journey to a distant or unknown place especially over water or through outer space
Unfortunate,adjective, not fortunate: such as
Toil,noun,"formal + literary  work that is difficult and unpleasant and that lasts for a long time  long, hard labor"
Strength,noun, the quality or state of being physically strong
Solitude,noun, a state or situation in which you are alone usually because you want to be
Smiles,noun," an expression on your face that makes the corners of your mouth turn up and that shows happiness, amusement, pleasure, affection, etc."
Silent,adjective, not speaking or making noise
Reflected,verb,"of light, sound, etc.  to move in one direction, hit a surface, and then quickly move in a different and usually opposite direction"
Prospect,noun, the possibility that something will happen in the future
Presence,noun, the fact of being in a particular place  the state of being present
Philosophy,noun," the study of ideas about knowledge, truth, the nature and meaning of life, etc."
Marriage,noun, the relationship that exists between a husband and a wife
Limb,noun, a leg or arm
Hovel,noun," a small, poorly built and often dirty house"
Horrible,adjective, causing horror  very shocking and upsetting
Distance,noun, the amount of space between two places or things
Desert,noun, an area of very dry land that is usually covered with sand and is very hot
Describe,verb," to tell someone the appearance, sound, smell, events, etc., of (something or someone)  to say what something or someone is like"
Departed,adjective,somewhat formal  no longer living
Daughter,noun, a female child
Arm,noun, either one of the two long body parts that join the top of your body at the shoulder and that end at the hand or wrist
Accompany,verb, to go somewhere with (someone)  to be a companion for (someone)
Wretchedness,adjective," very unhappy, ill, etc."
Waves,verb, to move your hand or something held in your hand usually in a repeated motion in order to signal or greet someone
Wandered,verb, to move around or go to different places usually without having a particular purpose or direction
Truth,noun,the truth  the real facts about something  the things that are true
Tranquillity,noun, the quality or state of being quiet and peaceful
Thou,pronoun,old-fashioned + literary used as a singular form of you when it is the subject of a verb
Thirst,noun, an uncomfortable feeling that is caused by the need for something to drink
Silence,noun, a lack of sound or noise
Render,verb,formal  to cause (someone or something) to be in a specified condition
Remorse,noun, a feeling of being sorry for doing something bad or wrong in the past  a feeling of guilt
Recovered,verb, to become healthy after an illness or injury  to return to normal health
Reason,noun," a statement or fact that explains why something is the way it is, why someone does, thinks, or says something, or why someone behaves a certain way"
Protector,noun, a person or thing that protects someone or something
Paused,verb, to stop doing something for a short time before doing it again
Moved,verb, to cause (something or someone) to go from one place or position to another
Instant,noun, a very short period of time
Ideas,noun," a thought, plan, or suggestion about what to do"
Herself,pronoun," that same woman, girl, or female animal:"
Hatred,noun, a very strong feeling of dislike
Frame,noun, the basic structure and shape of the body of a person or animal
Forward,adverb, toward the front  to or toward what is ahead or in front
Former,adjective,used to say what someone or something was in the past
Fancy,adjective, not plain or ordinary
Devoted,adjective, having strong love or loyalty for something or someone
Darkness,noun, a state in which little or no light can be seen  a dark state or condition
Curiosity,noun, the desire to learn or know more about something or someone
Circumstances,noun, a condition or fact that affects a situation
Capable,adjective, able to do something  having the qualities or abilities that are needed to do something
Bestow,verb,formal  to give (something) as a gift or honor
Benevolent,adjective, kind and generous
Amiable,adjective, friendly and pleasant
Agitation,verb," to disturb, excite, or anger (someone)"
Admiration,noun, a feeling of great respect and approval
Watching,verb, to look at (someone or something) for an amount of time and pay attention to what is happening
Vain,adjective," too proud of your own appearance, abilities, achievements, etc."
Undertaking,noun, an important or difficult task or project
Surprised,adjective, having or showing the feeling that people get when something unexpected or unusual happens  feeling or showing surprise
Summit,noun, the highest point of a mountain  the top of a mountain
Sledge,noun,British
Situation,noun," all of the facts, conditions, and events that affect someone or something at a particular time and in a particular place"
Servant,noun, a person who is hired to do household or personal duties such as cleaning and cooking
Scarcely,adverb, almost not at all
Remembered,verb, to have or keep an image or idea in your mind of (something or someone from the past)  to think of (something or someone from the past) again
Pursued,verb, to follow and try to catch or capture (someone or something) for usually a long distance or time
Promised,verb, to tell someone that you will definitely do something or that something will definitely happen in the future
Prison,noun, a building where people are kept as punishment for a crime or while they are waiting to go to court
Presented,verb, to give something to someone in a formal way or in a ceremony
Pity,noun, a strong feeling of sadness or sympathy for someone or something
Parent,noun, a person who is a father or mother  a person who has a child
Ought,verb,used to indicate what is expected
Mighty,adjective, having or showing great strength or power
Magistrate,noun, a local official who has some of the powers of a judge
Latter,adjective," coming or happening near the end of a process, activity, series, life, etc."
Hill,noun, a usually rounded area of land that is higher than the land around it but that is not as high as a mountain
Gained,verb, to get (something wanted or valued)
Frightful,adjective, causing fear
Feared,verb, to be afraid of (something or someone)
Favourite,adjective, most liked
Exertion,noun, physical or mental effort
Excellent,adjective, very good  extremely good
Enjoyed,verb, to take pleasure in (something)
Employed,verb, to use (something) for a particular purpose or to do something
Doubt,verb, to be uncertain about (something)  to believe that (something) may not be true or is unlikely
Disposition,noun, the usual attitude or mood of a person or animal
Directed,verb," to cause (someone or something) to turn, move, or point in a particular way"
Difficulty,noun, the quality of something that makes it hard to do  the difficult nature of something
Dare,verb, to have enough courage or confidence to do something  to not be too afraid to do something
Crimes,noun, an illegal act for which someone can be punished by the government
Commence,verb,formal  to begin
Cheek,noun, the part of the face that is below the eye and to the side of the nose and mouth
Carry,verb, to move (something) while holding and supporting it
Bestowed,verb,formal  to give (something) as a gift or honor
Believed,verb, to accept or regard (something) as true
Attempt,verb, to try to do (something)  to try to accomplish or complete (something)
Ardour,noun, a strong feeling of energy or eagerness
Animal,noun, a living thing that is not a human being or plant
Allow,verb, to permit (something)  to regard or treat (something) as acceptable
Addressed,verb," to write on an envelope, package, letter, etc., the name and address of the person or business it is being sent to"
Winter,noun, the coldest season of the year that is after autumn and before spring
Weep,verb,somewhat formal  to cry because you are very sad or are feeling some other strong emotion
Virtue,noun, morally good behavior or character
Village,noun, a small town in the country
Torture,noun, the act of causing severe physical pain as a form of punishment or as a way to force someone to do or say something
Themselves,pronoun," those same people, animals, or things:"
Success,noun," the fact of getting or achieving wealth, respect, or fame"
Spring,noun, the season between winter and summer  the season when plants and trees begin to grow
Sense,noun," one of the five natural powers (touch, taste, smell, sight, and hearing) through which you receive information about the world around you"
Season,noun," one of the four periods (spring, summer, autumn, and winter) into which the year is commonly divided"
Recollection,noun, the act of remembering something or the ability to remember something
Professor,noun, a teacher especially of the highest rank at a college or university
Produced,verb, to make (something) especially by using machines
Pleasant,adjective, causing a feeling of happiness or pleasure
Occasion,noun, a special event or time
Obliged,adjective,old-fashioned  very grateful
Master,noun, someone who has control or power over others: such as
Listened,verb," to pay attention to someone or something in order to hear what is being said, sung, played, etc."
Lady,noun, a woman who behaves in a polite way
Justice,noun, the process or result of using laws to fairly judge and punish crimes and criminals
Inhabitant,noun, a person or animal that lives in a particular place
Increased,verb," to become larger or greater in size, amount, number, etc."
Hunger,noun, a very great need for food  a severe lack of food
Hitherto,adverb,formal  until now  before this time
Greatly,adverb, to a great extent or degree  very much
Fatigue,noun, the state of being very tired  extreme weariness
Fair,adjective, agreeing with what is thought to be right or acceptable
Expected,verb, to think that something will probably or certainly happen
Excited,adjective, very enthusiastic and eager about something
Evening,noun, the last part of the day and early part of the night
Ear,noun, the part of the body that you hear with
Dreadful,adjective, very bad or unpleasant
Divine,adjective, relating to or coming from God or a god
Degrees,noun, a unit for measuring temperature
Consent,verb,formal  to agree to do or allow something  to give permission for something to happen or be done
Conceived,verb, to think of or create (something) in the mind
Committed,adjective," willing to give your time, energy, etc., to something"
Cheerful,adjective, feeling or showing happiness
Cast,verb, to throw or move (something) in a forceful way
Branches,noun, a part of a tree that grows out from the trunk
Behold,verb,formal + literary  to look at (something)  to see (something)
Arrive,verb," to come to or reach a place after traveling, being sent, etc."
Apply,verb," to ask formally for something (such as a job, admission to a school, a loan, etc.) usually in writing"
Wife,noun, a married woman  the woman someone is married to
Warmth,noun, the quality or state of being warm in temperature
