,0
Once,39
Again,57
To,1130
Zelda,1
Then,144
Wear,3
The,2400
Gold,10
Hat,5
If,146
That,595
Will,21
Move,10
Her,397
You,457
Can,30
Bounce,2
High,18
For,311
Too,63
Till,7
She,377
Cry,6
Â,2941
Lover,2
Hatted,1
Bouncing,1
I,1193
Must,32
Have,138
Thomas,2
Parke,1
Dâ,3
Invilliers,1
In,807
My,244
Younger,3
And,1566
More,74
Vulnerable,1
Years,38
Father,8
Gave,26
Me,325
Some,103
Advice,2
Iâ,198
Ve,65
Been,107
Turning,12
Over,142
Mind,11
Ever,28
Since,12
Whenever,7
Feel,10
Like,122
Criticizing,1
Anyone,10
He,813
Told,45
Just,103
Remember,17
All,219
People,62
This,167
World,27
Havenâ,14
T,416
Had,381
Advantages,1
Youâ,65
Didnâ,85
Say,38
Any,68
But,257
Weâ,41
Always,34
Unusually,2
Communicative,1
A,1411
Reserved,1
Way,75
Understood,6
Meant,5
Great,26
Deal,4
Than,34
Consequence,2
M,74
Inclined,1
Reserve,2
Judgements,2
Habit,3
Has,19
Opened,17
Up,190
Many,19
Curious,12
Natures,1
Also,5
Made,62
Victim,1
Of,1119
Not,73
Few,25
Veteran,1
Bores,1
Abnormal,1
Is,104
Quick,4
Detect,1
Attach,2
Itself,18
Quality,11
When,146
It,542
Appears,1
Normal,1
Person,13
So,139
Came,108
About,150
College,10
Was,766
Unjustly,1
Accused,2
Being,16
Politician,1
Because,45
Privy,1
Secret,7
Griefs,1
Wild,11
Unknown,2
Men,41
Most,31
Confidences,1
Were,173
Unsought,1
Frequently,1
Feigned,1
Sleep,9
Preoccupation,1
Or,102
Hostile,2
Levity,1
Realized,7
By,122
Unmistakable,2
Sign,3
An,187
Intimate,5
Revelation,1
Quivering,1
On,360
Horizon,1
Revelations,1
Young,45
At,408
Least,15
Terms,2
Which,65
They,147
Express,2
Them,82
Are,46
Usually,4
Plagiaristic,1
Marred,2
Obvious,2
Suppressions,1
Reserving,1
Matter,21
Infinite,2
Hope,8
Am,16
Still,31
Little,103
Afraid,9
Missing,2
Something,68
Forget,10
As,270
Snobbishly,2
Suggested,14
Repeat,3
Sense,3
Fundamental,1
Decencies,1
Parcelled,1
Out,212
Unequally,1
Birth,1
After,89
Boasting,1
Tolerance,1
Come,84
Admission,2
Limit,2
Conduct,1
May,6
Be,124
Founded,3
Hard,19
Rock,4
Wet,11
Marshes,2
Certain,13
Point,10
Donâ,97
Care,14
What,129
Itâ,63
S,475
Back,109
From,231
East,23
Last,45
Autumn,6
Felt,24
Wanted,27
Uniform,4
Sort,23
Moral,1
Attention,6
Forever,12
No,102
Riotous,2
Excursions,1
With,424
Privileged,1
Glimpses,1
Into,168
Human,8
Heart,19
Only,53
Gatsby,195
Man,108
Who,110
Gives,4
His,494
Name,42
Book,13
Exempt,1
Reaction,3
Represented,2
Everything,22
Unaffected,1
Scorn,4
Personality,2
Unbroken,2
Series,9
Successful,1
Gestures,2
There,194
Gorgeous,5
Him,278
Heightened,1
Sensitivity,1
Promises,1
Life,30
Related,1
One,151
Those,27
Intricate,1
Machines,2
Register,1
Earthquakes,1
Ten,8
Thousand,6
Miles,4
Away,75
Responsiveness,1
Nothing,34
Do,87
Flabby,1
Impressionability,1
Dignified,4
Under,32
Creative,2
Temperamentâ,1
Extraordinary,4
Gift,1
Romantic,10
Readiness,1
Such,21
Never,64
Found,36
Other,64
Likely,4
Shall,4
Find,17
Turned,64
Right,50
End,21
Preyed,1
Foul,2
Dust,10
Floated,6
Wake,3
Dreams,8
Temporarily,1
Closed,8
Interest,5
Abortive,2
Sorrows,1
Short,15
Winded,1
Elations,1
Family,14
Prominent,1
Well,70
Middle,11
Western,3
City,19
Three,38
Generations,1
Carraways,1
Clan,3
We,193
Tradition,2
Re,61
Descended,2
Dukes,1
Buccleuch,1
Actual,2
Founder,1
Line,11
Grandfatherâ,1
Brother,3
Here,68
Fifty,12
Sent,16
Substitute,1
Civil,1
War,13
Started,25
Wholesale,1
Hardware,1
Business,18
Carries,1
Today,6
Saw,52
Uncle,1
Supposed,6
Look,52
Special,2
Reference,1
Rather,25
Boiled,1
Painting,2
Hangs,2
Fatherâ,2
Office,18
Graduated,1
New,70
Haven,5
1915,1
Quarter,4
Century,1
Later,25
Participated,1
Delayed,2
Teutonic,1
Migration,1
Known,12
Enjoyed,5
Counter,3
Raid,1
Thoroughly,1
Restless,5
Instead,6
Warm,11
Centre,3
West,39
Now,99
Seemed,39
Ragged,3
Edge,7
Universe,3
Decided,4
Go,71
Learn,2
Bond,5
Everybody,10
Knew,54
Could,61
Support,2
Single,12
Aunts,1
Uncles,1
Talked,17
Choosing,1
Prep,2
School,2
Finally,13
Said,235
Why,42
Ye,1
Es,1
Very,60
Grave,5
Hesitant,1
Faces,12
Agreed,9
Finance,1
Year,20
Various,5
Delays,1
Permanently,1
Thought,48
Spring,6
Twenty,9
Two,73
Practical,3
Thing,35
Rooms,10
Season,4
Left,41
Country,5
Wide,7
Lawns,4
Friendly,1
Trees,14
Take,28
House,95
Together,31
Commuting,2
Town,20
Sounded,5
Idea,18
Weather,4
Beaten,1
Cardboard,2
Bungalow,1
Eighty,2
Month,7
Minute,35
Firm,2
Ordered,4
Washington,1
Went,91
Alone,33
Dog,19
Days,19
Until,43
Ran,13
Old,84
Dodge,1
Finnish,3
Woman,20
Bed,15
Cooked,2
Breakfast,4
Muttered,6
Wisdom,1
Herself,7
Electric,3
Stove,2
Lonely,2
Day,45
Morning,30
Recently,1
Arrived,16
Stopped,20
Road,21
How,39
Get,75
Egg,34
Village,8
Asked,43
Helplessly,4
Walked,23
Longer,14
Guide,1
Pathfinder,1
Original,1
Settler,1
Casually,6
Conferred,1
Freedom,2
Neighbourhood,2
Sunshine,4
Bursts,2
Leaves,7
Growing,2
Things,30
Grow,4
Fast,3
Movies,5
Familiar,9
Conviction,1
Beginning,6
Summer,19
Much,38
Read,11
Fine,11
