,0
Again,55
To,1124
Then,144
Wear,4
The,2400
Gold,10
Hat,7
If,146
That,617
Will,18
Move,10
Her,371
You,413
Can,60
Bounce,2
High,17
For,294
Too,63
She,390
Cry,39
Hatted,1
Bouncing,1
Lover,1
I,1193
Must,32
Have,131
D,3
My,227
Younger,3
And,1566
More,74
Vulnerable,1
Year,59
Father,8
Gave,26
Me,327
Some,93
Advice,2
Ve,65
Been,106
Turning,10
Over,141
In,775
Mind,11
Ever,27
Since,12
Feel,10
Like,119
Criticizing,1
Anyone,10
He,842
Told,45
Just,89
Remember,17
All,200
People,60
This,134
World,26
Haven,12
Had,380
Advantages,1
Didn,83
Say,36
Any,66
But,188
We,161
Always,34
Unusually,2
Communicative,1
A,1411
Reserved,1
Way,75
Understood,6
Meant,5
Great,25
Deal,4
Than,34
Consequence,2
Inclined,1
Reserve,2
Judgement,2
Habit,3
Has,17
Opened,17
Up,190
Many,19
Curious,12
Natures,1
Also,4
Made,63
Victim,1
Of,1106
Not,65
Few,25
Veteran,1
Bores,1
Abnormal,1
Is,94
Quick,4
Detect,1
Attach,2
Itself,18
Quality,11
When,146
It,606
Appear,1
Normal,1
Person,13
So,117
Came,108
About,140
College,6
Was,766
Unjustly,1
Accused,2
Being,16
Politician,1
Because,45
Privy,1
Secret,8
Grief,3
Wild,10
Unknown,2
Men,43
Confidences,1
Were,172
Unsought,1
Frequently,1
Feigned,1
Sleep,9
Preoccupation,1
Or,98
Hostile,2
Levity,1
Realized,7
By,113
Unmistakable,2
Sign,5
An,183
Intimate,5
Revelation,2
Quivering,1
On,349
Horizon,1
Young,44
At,377
Least,15
Term,2
Which,64
They,156
Express,2
Them,82
Are,42
Usually,3
Plagiaristic,1
Marred,2
Obvious,2
Suppression,1
Matter,23
Infinite,2
Hope,8
Am,16
Still,29
Little,101
Afraid,9
Missing,2
Something,62
Forget,10
As,242
Snobbishly,2
Suggested,14
Repeat,3
Sense,3
Fundamental,1
Decency,3
Parcelled,1
Out,212
Unequally,1
Birth,1
After,65
Boasting,1
Tolerance,1
Come,63
Admission,2
Limit,3
May,5
Be,122
Founded,3
Hard,19
Rock,4
Wet,11
Marshes,2
Certain,13
Point,8
Don,76
Care,14
What,134
Back,109
From,225
Last,45
Autumn,6
Felt,24
Wanted,27
Uniform,4
Sort,24
Moral,1
Attention,6
Forever,12
No,69
Riotous,2
Excursion,1
With,411
Privileged,1
Glimpses,1
Into,167
Human,7
Heart,19
Man,114
Who,113
Gives,4
His,453
Name,42
Book,21
Exempt,1
Reaction,3
Represented,2
Everything,25
Unaffected,1
Scorn,4
Personality,2
Unbroken,2
Sery,9
Successful,1
Gestures,2
There,173
Gorgeous,5
Him,278
Heightened,1
Sensitivity,1
Promises,1
Life,29
Related,1
One,135
Those,25
Intricate,1
Machines,2
Register,1
Earthquakes,1
Ten,7
Thousand,6
Miles,4
Away,75
Responsiveness,1
Nothing,33
Do,66
Flabby,1
Impressionability,1
Dignify,4
Under,30
Creative,2
Temperament,2
Extraordinary,3
Gift,1
Romantic,10
Readiness,1
Such,20
Never,60
Found,35
Other,69
Likely,4
Shall,2
Find,17
Turned,64
Right,48
End,23
Preyed,1
Foul,2
Dust,10
Floated,6
Wake,2
Dream,14
Temporarily,1
Closed,8
Interest,5
Abortive,2
Sorrow,1
Short,15
Winded,1
Elation,1
Family,14
Prominent,1
Well,28
City,17
Three,36
Generation,3
Clan,3
Tradition,2
Re,61
Descended,2
Actual,2
Founder,1
Line,10
Grandfather,1
Brother,4
Here,67
Fifty,11
Sent,16
Substitute,1
Started,25
Wholesale,1
Hardware,1
Business,18
Carry,9
Today,7
Saw,52
Uncle,1
Supposed,6
Look,42
Special,2
Reference,1
Rather,24
Boiled,1
Painting,2
Hang,2
Office,18
Graduated,1
Quarter,4
Century,1
Later,25
Participated,1
Delayed,2
Migration,1
Known,12
Enjoyed,5
Counter,3
Raid,1
Thoroughly,1
Restless,5
Warm,11
