,0
0,Came
1,Went
2,Eyes
3,Looked
4,Didn
5,Don
6,Moment
7,Door
8,Turned
9,Voice
10,Knew
11,Saw
12,Toward
13,Began
14,Sport
15,Took
16,Hour
17,Told
18,Heard
19,Afternoon
20,Asked
21,Seemed
22,Cry
23,Wasn
24,Minute
25,Nothing
26,Alone
27,Suddenly
28,Sat
29,Clock
30,Morning
31,Himself
32,Stood
33,Garage
34,Couldn
35,Arm
36,Wanted
37,Lawn
38,O
39,Moved
40,Inquired
41,Gave
42,Marry
43,Dark
44,Across
45,Rather
46,Felt
47,Demanded
48,Anything
49,Wife
50,Walked
51,Matter
52,Hear
53,Gone
54,Feet
55,Dog
56,Broke
57,Hair
58,Wouldn
59,Woman
60,Rose
61,Hadn
62,Chair
63,Beside
64,Stopped
65,Met
66,Loved
67,Butler
68,Trying
69,Train
70,Telephone
71,Summer
72,Idea
73,Evening
74,Dress
75,Shoulder
76,Passed
77,Ought
78,Itself
79,Inside
80,Hundred
81,Happened
82,Grey
83,Dozen
84,Brought
85,Behind
86,Talked
87,Suit
88,Slowly
89,Shook
90,Rain
91,Opened
92,Myself
93,Fell
94,Except
95,Coat
96,Answered
97,Almost
98,Waited
99,Sent
100,Porch
101,Nodded
102,Mckee
103,Insisted
104,Immediately
105,Hall
106,Expression
107,Bright
108,Bought
109,Believe
110,Bed
111,Arrived
112,Won
113,Stared
114,Standing
115,Somebody
116,Sitting
117,Reached
118,Quickly
119,Outside
120,Leaned
121,Laughed
122,Isn
123,Husband
124,Glanced
125,Followed
126,Floor
127,Finger
128,Drove
129,Understand
130,Trees
131,Tomorrow
132,Suggested
133,Speak
134,Sister
135,Pretty
136,Policeman
137,Pale
138,Mouth
139,Longer
140,Hurry
141,Held
142,Heat
143,Explained
144,Effort
145,Dream
146,Doesn
147,Corner
148,Cool
149,Cold
150,Wind
151,Whispered
152,Smiled
153,Sight
154,Ran
155,Pulled
156,Pool
157,Nice
158,Lunch
159,Leaving
160,Lay
161,Late
162,Grass
163,Forward
164,Dinner
165,Deep
166,Continued
167,Certain
168,Boy
169,Wait
170,Surprised
171,Suppose
172,Somewhere
173,Shadow
174,Remarked
175,Raised
176,Perhap
177,Nose
178,Movement
179,Mine
180,Laughter
181,Lady
182,Kind
183,Killed
184,Kept
185,Haven
186,Happen
187,Forever
188,Faces
189,Drink
190,Dead
191,Curious
192,Crowd
193,Crazy
194,Coupã
195,Wet
196,Warm
197,Wall
198,Voices
199,Tea
200,Sit
201,Silver
202,Sick
203,Saying
204,Rest
205,Repeated
206,Mind
207,Lost
208,Lived
209,Lip
210,Leave
211,Glad
212,Flower
213,Fifty
214,Enormous
215,Couch
216,Breath
217,Beyond
218,Asleep
219,Wild
220,Wheel
221,Turning
222,Trembling
223,Thirty
224,Talking
225,Spoke
226,Someone
227,Romantic
228,Remembered
229,Remark
230,Rang
231,Object
232,Newspaper
233,Murmur
234,Moving
235,Move
236,Mother
237,Lovely
238,Guest
239,Glass
240,Funny
241,Forgotten
242,Forget
243,Fine
244,Finally
245,Faintly
246,Eat
247,Ear
248,Dust
249,Driving
250,Conversation
251,Coming
252,Coloured
253,Chauffeur
254,Broken
255,Apartment
256,Anyone
257,Anyhow
258,Yard
259,Wonder
260,Wire
261,Whose
262,Whom
263,Walking
264,Upstair
265,Unfamiliar
266,Twilight
267,Trouble
268,Touch
269,Taxi
270,Stayed
271,Station
272,Stand
273,Slightly
274,Sleep
275,Sky
276,Silence
277,Shirt
278,Sery
279,Scene
280,Rich
281,Presence
282,Poor
283,Pocket
284,Pause
285,Occurred
286,Names
287,Named
288,Moon
289,Letter
290,Laugh
291,Kitchen
292,Hesitated
293,Hardly
294,Feeling
295,Familiar
296,Exclaimed
297,Everyone
298,Eagerly
299,Drunk
300,Drew
301,Darkness
302,Colour
303,Changed
304,Carry
305,Became
306,Aware
307,Answer
308,Agreed
309,Afraid
310,Affair
311,Thinking
312,Thin
313,Thick
314,Terrible
315,Taking
316,Supper
317,Strained
318,Sometimes
319,Soft
320,Smile
321,Silent
322,Shape
323,Secret
324,Sad
325,Reason
326,Quite
327,Pushed
328,Politely
329,Physical
330,Pair
331,Opening
332,Noon
333,Neighbour
334,Invited
