Come,verb, to move toward someone or something
Eyes,noun, the part of the body that you see with
Looked,verb, to direct your eyes in a particular direction
Do,verb, to perform (an action or activity)
Moment,noun, a very short period of time
Door,noun," a movable piece of wood, glass, or metal that swings or slides open and shut so that people can enter or leave a room, building, vehicle, etc."
Turn,verb, to move around a central point
Voice,noun," the sounds that you make with your mouth and throat when you are speaking, singing, etc."
Know,verb, to have (information of some kind) in your mind
See,verb, to notice or become aware of (someone or something) by using your eyes
Toward,preposition, in the direction of (something or someone)
Begin,verb, to do the first part of an action  to start doing something
Sport,noun, a contest or game in which people do certain physical activities according to a specific set of rules and compete against each other
Take,verb, to carry or move (something) to a place
Hour,noun, one of the 24 equal parts of a day  60 minutes
Tell,verb, to say or write (something) to (someone)
Hear,verb, to be aware of (sound) through the ear
Afternoon,noun, the middle part of the day  the part of the day between noon and evening
Ask,verb, to say or write something to someone as a way of gaining information  to request an answer to a question
Seem,verb," to appear to be something or to do something  to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Cry,verb," to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions"
Minute,noun, a unit of time equal to 60 seconds  one 60th of an hour
Nothing,pronoun, not anything  not a thing
Alone,adjective, without anyone or anything else  not involving or including anyone or anything else  separate from other people or things
Suddenly,adverb, very quickly in usually an unexpected way  in a sudden way
Sit,verb," to be in a position in which your bottom is resting on a chair, the ground, etc., especially with your back upright"
Clock,noun, a device that shows what time it is and that is usually placed in a room or attached to a wall
Morning,noun, the early part of the day  the time of day from sunrise until noon
Himself,pronoun," that same man, boy, or male animal:"
Stand,verb, to be in an upright position with all of your weight on your feet
Garage,noun," a building or part of a building in which a car, truck, etc., is kept"
Could,verb,used to say that something is possible
Arm,noun, either one of the two long body parts that join the top of your body at the shoulder and that end at the hand or wrist
Want,verb, to desire or wish for (something)
Lawn,noun, an area of ground (such as the ground around a house or in a garden or park) that is covered with short grass
O,noun, the 15th letter of the English alphabet
Move,verb, to cause (something or someone) to go from one place or position to another
Inquire,verb,somewhat formal  to ask for information
Give,verb, to cause or allow someone to have (something) as a present  to make a present of (something)
Marry,verb, to become the husband or wife of (someone)  to become joined with (someone) in marriage
Dark,adjective, having very little or no light
Across,preposition, from one side to the other side of (something)
Rather,adverb, to some degree or extent
Feel,verb," to be aware of (something that affects you physically, such as pain, heat, or an object touching your body)"
Demand,noun, a forceful statement in which you say that something must be done or given to you
Anything,pronoun, a thing of any kind
Wife,noun, a married woman  the woman someone is married to
Walk,verb, to move with your legs at a speed that is slower than running
Matter,noun," something that is being done, talked about, or thought about"
Hear,verb, to be aware of (sound) through the ear
Dog,noun," a type of animal that is often kept as a pet or trained to work for people by guarding buildings, hunting, etc."
Hair,noun, a thin threadlike growth from the skin of a person or animal
Would,verb,used to indicate what someone said or thought about what was going to happen or be done
Woman,noun, an adult female human being
Chair,noun, a seat for one person that has a back and usually four legs
Beside,preposition, by the side of (someone or something)  next to (someone or something)
Stopped,verb," to not move, walk, etc., after doing so before"
Loved,verb, to feel great affection for (someone)  to feel love for (someone)
Butler,noun, the main male servant in the home of a wealthy person
Trying,adjective, difficult to deal with
Train,noun, a group of vehicles that travel on a track and are connected to each other and usually to an engine  a connected group of railroad cars
Telephone,noun, a system that uses wires and radio signals to send sounds (such as people's voices) over long distances
Summer,noun, the warmest season of the year that is after spring and before autumn
Idea,noun," a thought, plan, or suggestion about what to do"
Evening,noun, the last part of the day and early part of the night
Dress,verb, to put clothes on (yourself or someone else)
Shoulder,noun, the part of your body where your arm is connected
Passed,verb, to move past someone or something
Ought,verb,used to indicate what is expected
Itself,pronoun, that same one:
Inside,noun," an inner side, edge, or surface of something"
Hundred,noun, the number 100
Happened,verb, to take place especially without being planned
Dozen,noun, a group of 12 people or things
Behind,adverb, in or toward the back
Talk,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone"
Suit,noun, a set of clothes that usually consists of a jacket and a skirt or pair of pants that are made out of the same material
Slowly,adverb, in a slow way or at a low speed
Shake,verb," to move sometimes violently back and forth or up and down with short, quick movements"
Rain,noun, water that falls in drops from clouds in the sky
Open,adjective, not closed: such as
Myself,pronoun, the person who is speaking or writing:
Fall,verb, to come or go down quickly from a high place or position
Except,preposition, not including (someone or something)  other than (something or someone)
Coat,noun, an outer piece of clothing that can be long or short and that is worn to keep warm or dry
Answer,noun, something you say or write when someone asks you a question
Almost,adverb, only a little less than
Wait,verb," to stay in a place until an expected event happens, until someone arrives, until it is your turn to do something, etc."
Send,verb," to cause (a letter, an e-mail, a package, etc.) to go or to be carried from one place or person to another"
Porch,noun,US  a structure attached to the entrance of a building that has a roof and that may or may not have walls
Nod,verb," to move your head up and down as a way of answering yes or of showing agreement, understanding, or approval"
Insist,verb, to demand that something happen or that someone do something
Immediately,adverb, with no person or thing in between
Hall,noun," a usually long, narrow passage inside a building with doors that lead to rooms on the sides"
Expression,noun," the act of making your thoughts, feelings, etc., known by speech, writing, or some other method  the act of expressing something"
