,0
It,1636
Is,836
A,1949
Truth,27
Universally,3
Acknowledged,20
That,1580
Single,11
Man,151
In,1795
Possession,9
Of,3600
Good,187
Fortune,39
Must,307
Be,1237
Want,55
Wife,47
Little,187
Known,58
The,4332
Feeling,124
Or,297
View,28
Such,373
May,186
On,681
His,1191
First,143
Entering,9
Neighbourhood,30
This,381
So,575
Well,188
Fixed,21
Mind,61
Surrounding,2
Family,158
He,1336
Considered,23
Rightful,1
Property,8
Some,206
One,259
Other,261
Their,412
Daughter,133
Dear,150
Said,401
Lady,128
To,4113
Him,764
Day,143
Have,831
You,1149
Heard,86
Let,49
At,743
Last,119
Reply,130
Had,1152
Not,1400
Returned,45
She,1710
For,1040
Has,215
Just,72
Been,514
Here,59
And,3584
Told,69
Me,448
All,609
About,116
Made,126
No,438
Answer,66
Know,247
Who,285
Taken,31
Cry,92
Impatiently,5
Tell,67
I,2070
Objection,26
Hearing,24
Was,1843
Invitation,35
Enough,106
Why,53
My,601
Says,15
By,621
Young,127
Large,23
From,471
North,2
Came,90
Down,74
Chaise,11
Four,31
See,149
Place,75
Much,324
Delighted,23
With,1020
Agreed,12
Immediately,60
Take,77
Before,224
Servant,31
Are,324
House,99
End,29
Next,69
Week,47
What,478
Name,33
Marry,103
Sure,101
Five,29
Thousand,34
Year,64
Fine,32
Thing,69
Our,69
Girl,82
How,231
Can,202
Affect,4
Them,435
Tiresome,2
Am,324
Thinking,21
Marrying,23
Design,25
Settling,3
Talk,33
Very,472
Likely,38
Fall,11
Love,92
Therefore,75
Visit,56
As,1124
Soon,214
Comes,16
Occasion,46
Go,102
Send,24
Themselves,34
Which,538
Perhap,57
Will,407
Still,72
Better,92
Handsome,37
Any,267
Like,77
Best,41
Party,69
Flatter,10
Certainly,65
Share,14
Beauty,31
But,684
Do,310
Pretend,7
Anything,79
Extraordinary,16
Now,197
When,374
Woman,61
Grown,5
Up,123
Ought,45
Give,121
Over,91
Her,2146
Own,184
Cases,6
Often,89
Think,214
Indeed,76
Into,141
More,323
Than,282
Engage,5
Assure,39
Consider,31
Your,426
An,354
Establishment,6
Would,468
Determined,32
Merely,32
Account,41
General,49
They,601
Newcomer,1
Impossible,42
Us,123
If,350
Scrupulous,1
Surely,3
Dare,40
Say,158
Glad,37
Few,71
Lines,9
Hearty,2
Consent,13
Whichever,2
Chooses,8
Though,211
Throw,8
Word,77
Desire,23
Bit,3
Half,70
Nor,66
Humoured,7
Always,119
Giving,25
Preference,10
None,18
Recommend,12
Silly,12
Ignorant,15
Something,69
Quickness,3
Sister,294
Abuse,2
Children,25
Way,108
Delight,27
Vexing,1
Compassion,14
Poor,30
Nerves,4
Mistake,8
High,17
Respect,35
Old,13
Friend,167
Mention,30
Consideration,15
These,59
Twenty,17
Least,65
Suffer,14
Hope,120
Get,53
Live,21
Many,116
Men,34
Come,85
Use,15
Should,248
Since,54
Upon,64
There,290
Odd,5
Mixture,5
Quick,10
Part,65
Sarcastic,1
Humour,25
Reserve,7
Caprice,4
Experience,2
Three,60
Insufficient,10
Make,165
Understand,30
Character,67
Less,77
Difficult,11
Develop,1
Mean,91
Understanding,21
Information,27
Uncertain,2
Temper,25
Discontented,2
Fancy,26
Herself,227
Nervous,4
Business,45
Life,56
Solace,1
Visiting,5
New,55
Among,24
Earliest,6
Those,54
Waited,7
Intended,21
Assuring,4
Till,87
Evening,78
After,163
Paid,19
Knowledge,20
Then,175
Disclosed,1
Following,23
Manner,143
Second,25
Employed,8
Trimming,1
Hat,2
Suddenly,16
Addressed,17
Likes,9
Mother,137
Resentfully,2
We,194
Forget,18
Mamma,8
Shall,158
Meet,33
Assembly,11
Promised,21
Introduce,11
Believe,84
Two,130
Nieces,10
Selfish,7
Hypocritical,2
Opinion,76
Find,58
Depend,22
Serving,1
Deigned,3
Unable,14
Contain,7
Began,59
Scolding,2
Keep,28
Coughing,1
Sake,23
Tear,12
Pieces,2
Discretion,5
Cough,3
Father,135
Times,19
Ill,75
Amusement,15
Fretfully,2
Ball,43
Morrow,20
Fortnight,23
Does,80
Back,41
Advantage,34
Acquainted,24
Myself,94
Teasing,6
Honour,44
Circumspection,2
Acquaintance,52
Cannot,112
Really,87
Venture,5
Somebody,7
Else,43
Stand,12
Chance,18
Act,9
Kindness,29
Decline,2
Office,5
Stared,5
Only,209
Nonsense,6
Meaning,14
Emphatic,1
Exclamation,5
Form,15
Introduction,11
Stress,1
Laid,8
Quite,96
Agree,6
Deep,7
Reflection,18
Read,40
Great,141
Book,31
Extract,2
Wished,40
Sensible,32
Knew,58
Adjusting,1
Ideas,13
Continued,51
Return,51
Sick,6
Sorry,34
Hear,71
Did,259
Morning,81
Called,41
Unlucky,10
Actually,12
Escape,10
Astonishment,29
Surpassing,1
Rest,40
Tumult,3
Joy,12
Declare,8
Expected,43
While,62
Persuade,18
Loved,10
Too,141
Neglect,10
Pleased,38
Joke,3
Gone,62
Never,214
Choose,18
Spoke,43
Left,65
Room,159
Fatigued,3
Raptures,7
Excellent,19
Door,43
Shut,5
Ever,129
Amend,5
Either,59
Matter,37
Time,203
Pleasant,21
Making,38
Acquaintances,11
Every,183
Sakes,2
Youngest,13
Dance,32
Stoutly,1
Afraid,37
Tallest,1
Spent,22
Conjecturing,2
Determining,2
Ask,32
Dinner,37
However,128
Assistance,12
Could,515
Subject,94
Sufficient,4
Draw,6
Husband,54
Satisfactory,7
Description,7
Attacked,1
Various,9
Ways,3
Barefaced,1
Question,39
Ingenious,2
Supposition,5
Distant,5
Surmises,1
Eluded,1
Skill,3
Were,561
Obliged,29
Accept,16
Hand,32
Intelligence,19
Neighbour,19
Report,18
Highly,28
Favourable,12
Wonderfully,2
Extremely,15
Agreeable,45
Crown,1
Whole,79
Meant,28
Delightful,19
Fond,16
Dancing,21
Certain,54
Step,21
Toward,70
Falling,3
Lively,15
Hopes,23
Heart,45
Entertained,7
Happily,5
Settled,48
Equally,20
Nothing,164
Wish,97
Days,30
Sat,38
Ten,31
Minutes,37
Library,23
Being,175
Admitted,9
Sight,17
Whose,59
Saw,103
Somewhat,8
Fortunate,15
Ascertaining,1
Upper,2
Window,22
Wore,2
Blue,2
Coat,5
Rode,2
Black,1
Horse,3
Afterward,32
Dispatched,4
Already,27
Planned,3
Courses,3
Credit,27
Housekeeping,3
Arrived,15
Deferred,2
Town,66
Consequently,10
Etc,13
Disconcerted,3
Imagine,26
Arrival,30
Fear,33
Might,200
Flying,2
Another,55
Quieted,2
Starting,1
Idea,49
Followed,25
Bring,19
Twelve,4
Seven,3
Gentlemen,38
Grieved,12
Number,5
Comforted,1
Instead,19
Brought,37
Six,10
Cousin,60
Entered,36
Consisted,2
Altogether,8
Eldest,20
Looking,33
Gentlemanlike,8
Countenance,30
Easy,24
Unaffected,5
Women,18
Air,31
Decided,11
Fashion,9
Brother,79
Law,17
Looked,75
Gentleman,39
Drew,19
Attention,94
Tall,8
Person,60
Features,8
Noble,11
Mien,1
Circulation,2
Within,32
Entrance,13
Having,89
Pronounced,10
Figure,8
Declared,15
Handsomer,3
Admiration,25
Gave,54
Disgust,5
Turned,43
Tide,2
Popularity,1
Discovered,7
Proud,21
Above,21
Company,22
Estate,20
Save,3
Most,185
Forbidding,1
Disagreeable,14
Unworthy,4
Compared,3
Himself,127
Principal,14
People,47
Unreserved,3
Danced,12
Angry,17
Closed,6
Early,28
Talked,38
Amiable,36
Quality,8
Speak,68
Contrast,3
Between,60
Once,56
Declined,6
Introduced,9
Walking,26
Speaking,33
Occasionally,12
Proudest,1
World,66
Everybody,34
Hoped,20
Again,175
Violent,10
Against,51
Dislike,23
Behaviour,55
Sharpened,2
Particular,48
Resentment,18
Slighted,3
Scarcity,1
Sit,15
Dances,10
During,25
Standing,13
Near,38
Conversation,62
Press,4
Join,19
Hate,8
Yourself,50
Stupid,3
Detest,3
Unless,18
Particularly,32
Partner,20
Insupportable,3
Engaged,37
Whom,84
Punishment,5
Fastidious,2
Kingdom,4
Met,39
Several,23
Uncommonly,9
Pretty,24
Beautiful,15
Creature,14
Beheld,2
Sitting,21
Behind,14
Turning,13
Round,17
Moment,81
Catching,1
Eye,15
Withdrew,5
Coldly,2
Tolerable,15
Tempt,4
Present,71
Consequence,32
Enjoy,8
Smiles,9
Wasting,1
Advice,16
Walked,44
Off,62
Remained,23
Cordial,3
Story,9
Spirit,48
Playful,2
Disposition,26
Ridiculous,4
Passed,61
Pleasantly,4
Seen,76
Admired,12
Twice,13
Distinguished,6
Gratify,16
Quieter,1
Felt,100
Pleasure,92
Mentioned,28
Accomplished,12
Without,166
Yet,62
Learnt,14
Care,34
Village,6
Where,89
Lived,14
Inhabitant,3
Found,66
Regardless,2
Deal,34
Curiosity,24
Event,27
Raised,6
Splendid,4
Expectation,26
Rather,55
Stranger,17
Disappointed,12
Out,135
Different,36
Thought,137
Asked,40
Vexed,8
Admire,18
Nobody,15
Seemed,66
Struck,14
Going,57
Enquired,8
Got,25
Third,7
Fourth,2
Fifth,1
Sixth,1
Sprained,1
Ankle,1
Excessively,11
Charming,20
Elegant,14
Dresses,1
Lace,1
Gown,9
Interrupted,9
Protested,8
Finery,2
Seek,8
Branch,4
Related,16
Bitterness,5
Exaggeration,1
Shocking,6
Rudeness,2
Added,71
Lose,11
Suiting,1
Horrid,3
Worth,15
Pleasing,22
Conceited,6
Enduring,1
Fancying,4
Given,55
Set,31
Alone,30
Former,39
Cautious,4
Praise,22
Expressed,26
Happy,81
Ease,17
Perfect,17
Breeding,6
Also,34
Likewise,17
Possibly,8
Thereby,2
Complete,8
Flattered,7
Asking,14
Expect,36
Compliment,36
Difference,10
Surprise,36
Natural,22
Help,41
Seeing,60
Thank,27
Gallantry,8
Leave,62
Liked,27
Stupider,1
Apt,1
Fault,11
Anybody,25
Eyes,52
Human,5
Hasty,5
Censuring,1
Anyone,24
Makes,7
Wonder,37
Sense,36
Honestly,4
Blind,7
Folly,15
Candour,3
Common,19
Everywhere,2
Candid,1
Ostentation,1
Bad,15
Belong,5
Equal,31
Converse,4
Mistaken,21
Listened,21
Silence,34
Convinced,39
Calculated,3
Please,14
Observation,17
Pliancy,1
Judgement,11
Unassailed,1
Disposed,15
Approve,5
Fact,15
Deficient,5
Power,48
Chose,16
Educated,3
Private,11
Seminary,1
Pound,24
Habit,10
Spending,5
Associating,1
Rank,12
Entitled,4
Meanly,3
Respectable,14
Circumstance,19
Deeply,5
Impressed,1
Memory,10
Acquired,2
Trade,4
Inherited,1
Amount,2
Nearly,7
Hundred,6
Purchase,6
Sometimes,32
Choice,15
County,6
Provided,7
Liberty,8
Manor,2
Doubtful,2
Easiness,3
Whether,53
Spend,13
Remainder,1
Generation,2
Anxious,25
Established,7
Tenant,3
Unwilling,9
Preside,1
Table,35
Home,66
Suited,3
Age,15
Tempted,7
Accidental,3
Recommendation,5
Look,68
Hour,65
Situation,38
Satisfy,45
Owner,4
Took,53
Steady,11
Friendship,9
Spite,23
Opposition,3
Endeared,1
Openness,3
Ductility,1
Offer,33
Greater,25
Appeared,31
Dissatisfy,4
Strength,6
Regard,48
Firmest,2
Reliance,3
Highest,9
Superior,18
Clever,7
Same,69
Haughty,3
Reserved,7
Bred,4
Inviting,3
Greatly,14
Wherever,7
Continually,6
Offense,3
Sufficiently,5
Characteristic,2
Prettier,2
Kind,62
Attentive,10
Formality,3
Stiffness,2
Conceive,3
Angel,3
Contrary,10
Collection,4
Smallest,11
Interest,26
Received,61
Smiled,18
Allowed,26
Sweet,7
Object,55
Authorized,1
Commendation,9
Short,43
Walk,54
Intimate,12
Formerly,7
Risen,1
Knighthood,2
Address,19
King,1
Mayoralty,1
Distinction,5
Strongly,8
Residence,4
Small,23
Market,2
Quitting,8
Both,68
Removed,16
Mile,6
Denominated,1
Period,16
Importance,26
Unshackled,1
Occupy,9
Solely,4
Civil,18
Elated,1
Render,3
Supercilious,1
Nature,24
Inoffensive,1
Friendly,7
Obliging,5
Presentation,5
Courteous,1
Valuable,9
Intelligent,4
Absolutely,18
Necessary,31
Communicate,3
Self,24
Command,7
Suppose,48
Because,60
Seem,38
Hardly,46
Overheard,3
Prettiest,1
Answering,3
Beyond,35
Doubt,39
Point,50
Overhearing,1
Purpose,18
Listening,10
Beg,18
Put,30
Head,33
Treatment,5
Misfortune,9
Night,35
Close,9
Opening,13
Lip,9
Ma,7
Remarkably,10
Guess,5
Eat,5
Pride,45
Somehow,2
Carriage,44
Hack,1
Talking,39
Safely,3
Promise,16
Offend,3
Excuse,14
Everything,41
Favour,24
Express,24
Right,39
True,22
Easily,27
Forgive,8
Mortify,6
Mine,15
Observed,27
Piqued,1
Solidity,2
Failing,2
Prone,2
Cherish,1
Complacency,5
Score,4
Real,31
Imaginary,5
Used,21
Synonymously,1
Vain,18
Relates,3
Ourselves,8
Vanity,17
Rich,12
Pack,2
Foxhound,1
Drink,7
Bottle,2
Wine,3
Away,116
Directly,22
Boy,4
Argument,9
Ended,4
Due,11
Grew,6
Goodwill,2
Intolerable,3
Younger,29
Greatest,20
Superciliousness,1
Excepting,3
Even,80
Value,9
Arising,5
Probability,10
Influence,14
Generally,16
Evident,18
Whenever,21
Yielding,3
Begun,2
Entertain,5
United,7
Composure,16
Uniform,1
Cheerfulness,7
Guard,7
Suspicion,13
Impertinent,6
Able,54
Impose,2
Public,12
Case,32
Disadvantage,5
Guarded,9
Conceal,13
Affection,62
Opportunity,30
Fixing,2
Consolation,10
Dark,2
Gratitude,24
Almost,58
Attachment,28
Safe,8
Itself,9
Begin,17
Freely,4
Slight,18
Encouragement,10
Nine,2
Show,11
Feel,43
Undoubtedly,7
Allow,28
Perceive,7
Simpleton,4
Discover,8
Partial,10
Endeavour,28
Sees,6
Tolerably,14
Together,64
Each,62
Mixed,2
Conversing,3
Secure,13
Leisure,13
Plan,16
Adopt,3
Acting,3
Degree,23
Reasonableness,1
Dined,8
Represent,3
Appetite,2
Remember,20
Enabled,2
Ascertain,2
Un,1
Leading,5
Unfolded,5
Success,19
Happiness,71
Studying,4
Twelvemonth,7
Marriage,66
Entirely,25
Similar,5
Beforehand,1
Advance,3
Felicity,18
Continue,9
Grow,4
Unlike,4
Vexation,11
Possible,56
Defect,9
Pass,16
Laugh,17
Sound,9
Observing,11
Far,56
Suspecting,2
Becoming,3
Scarcely,43
Criticise,1
Sooner,13
Clear,9
Feature,2
Face,27
Rendered,10
Expression,34
Discovery,7
Succeeded,7
Mortifying,6
Detected,2
Critical,1
Failure,1
Symmetry,1
Forced,20
Acknowledge,8
Light,18
Asserting,1
Fashionable,1
Caught,11
Playfulness,2
Perfectly,46
Unaware,1
Nowhere,1
Attended,24
Doing,28
Notice,21
Assembled,6
Satirical,1
Approaching,12
Seeming,3
Intention,21
Defy,5
Provoking,3
Energy,5
Energetic,1
Severe,8
Turn,29
Teased,2
Open,17
Instrument,11
Follow,19
Strange,10
Wanting,7
Play,18
Sing,6
Musical,1
Invaluable,3
Performer,3
Persevering,1
Gravely,4
Glancing,4
Saying,35
Course,46
Familiar,3
Breath,2
Cool,3
Porridge,1
Swell,1
Song,6
Performance,6
Capital,4
Entreaty,11
Eagerly,14
Plain,11
Worked,4
Hard,12
Accomplishment,8
Impatient,8
Display,4
Neither,33
Genius,2
Taste,13
Application,12
Pedantic,1
Injured,4
Higher,4
Excellence,2
Reached,18
Playing,6
Long,100
Concerto,1
Request,12
Officer,39
Joined,28
Stood,14
Silent,26
Indignation,8
Mode,5
Passing,11
Exclusion,1
Engrossed,5
Thus,26
Refinement,1
Polished,2
Society,32
Sir,27
Vogue,1
Amongst,11
Savage,1
Perform,5
Delightfully,4
Pause,18
Group,2
Adept,1
Science,1
Inconsiderable,1
Proper,20
Pay,11
Avoid,18
Conclude,5
Bowed,3
Paused,3
Companion,23
Instant,6
Moving,5
Action,8
Gallant,1
Desirable,11
Refuse,9
Taking,19
Surprised,35
Receive,28
Instantly,31
Discomposure,3
Entreat,6
Moved,9
Order,14
Grave,9
Propriety,8
Requested,2
Shake,2
Attempt,21
Persuasion,9
Excel,2
Cruel,4
Deny,11
Dislikes,1
Oblige,6
Politeness,17
Smiling,10
Considering,14
Inducement,6
Complaisance,5
Archly,2
Resistance,2
Accosted,2
Reverie,1
Annoyed,1
Insipidity,1
Noise,3
Nothingness,1
Strictures,1
Conjecture,7
Totally,8
Wrong,15
Agreeably,3
Meditating,3
Pair,2
Bestow,7
Desired,6
Inspiring,1
Intrepidity,1
Repeated,21
Favourite,22
Pray,13
Exactly,30
Imagination,5
Rapid,3
Jump,1
Matrimony,6
Wishing,14
Serious,24
Indifference,17
Wit,7
Flowed,1
Unfortunately,2
Entailed,6
Default,1
Heir,1
Male,1
Relation,35
Ample,2
Supply,9
Deficiency,2
Attorney,3
Clerk,1
Line,8
Convenient,5
Distance,16
Usually,8
Thither,9
Duty,17
Aunt,85
Milliner,2
Shop,7
Frequent,13
Vacant,5
Offered,9
Amuse,5
Furnish,4
Bare,1
Country,41
Contrived,3
Learn,10
Recent,5
Militia,4
Regiment,22
Remain,15
Winter,15
Headquarter,1
Productive,1
Interesting,14
Names,6
Connection,38
Lodging,5
Secret,7
Length,32
Visited,4
Opened,17
Store,1
Unknown,8
Animation,4
Worthless,2
Opposed,5
Regimental,3
Ensign,1
Effusion,4
Coolly,4
Collect,2
Silliest,1
Suspected,9
Astonished,14
Ready,20
Slightingly,1
Happen,16
Sentiment,18
Coincided,1
Differ,1
Foolish,8
Red,3
Smart,2
Colonel,3
Nay,5
Prevented,23
Replying,3
Footman,1
Note,8
Sparkled,2
Calling,14
Haste,9
Aloud,11
Compassionate,2
Dine,16
Danger,19
Hating,1
Lives,4
Tãªte,8
Quarrel,5
Receipt,2
Caroline,1
Bingley,1
Horseback,2
Rain,4
Stay,37
Scheme,18
Horses,8
Coach,10
Spare,7
Wanted,24
