,0
0,Sister
1,Herself
2,Soon
3,Nothing
4,Dear
5,Manner
6,Mother
7,Father
8,Daughter
9,Letter
10,Lady
11,Himself
12,Feeling
13,Hope
14,Cannot
15,Saw
16,Marry
17,Felt
18,Wish
19,Quite
20,Myself
21,Attention
22,Pleasure
23,Cry
24,Came
25,Till
26,Heard
27,Aunt
28,Whom
29,Believe
30,Morning
31,Moment
32,Happy
33,Brother
34,Anything
35,Evening
36,Opinion
37,Indeed
38,Therefore
39,Looked
40,Ill
41,Hear
42,Happiness
43,Toward
44,Uncle
45,Told
46,Speak
47,Went
48,Character
49,Seemed
50,Nor
51,Marriage
52,Answer
53,Hour
54,Certainly
55,Leave
56,Kind
57,Gone
58,Conversation
59,Affection
60,Woman
61,Passed
62,Mind
63,Coming
64,Seeing
65,Immediately
66,Cousin
67,Whose
68,Began
69,Knew
70,Almost
71,Perhap
72,Reason
73,Rather
74,Object
75,Behaviour
76,Walk
77,Husband
78,Gave
79,Certain
80,Took
81,Eyes
82,Acquaintance
83,Continued
84,Yourself
85,Idea
86,Civility
87,Suppose
88,Spirit
89,Settled
90,Regard
91,Particular
92,Wife
93,Perfectly
94,Occasion
95,Hardly
96,Satisfy
97,Returned
98,Pride
99,Ought
100,Agreeable
101,Walked
102,Longer
103,Honour
104,Carriage
105,Turned
106,Spoke
107,Scarcely
108,Expected
109,Door
110,Ball
111,Ladyship
112,Impossible
113,Wished
114,Rest
115,Dare
116,Asked
117,Talking
118,Officer
119,Met
120,Gentleman
121,Fortune
122,Former
123,Doubt
124,De
125,Convinced
126,Assure
127,Talked
128,Situation
129,Seem
130,Sat
131,Pleased
132,Likely
133,Gentlemen
134,Connection
135,Wonder
136,Matter
137,Handsome
138,Glad
139,Engaged
140,Dinner
141,Brought
142,Believed
143,Afraid
144,Surprise
145,Sense
146,Expect
147,Entered
148,Compliment
149,Amiable
150,Surprised
151,Saying
152,Respect
153,Relation
154,Invitation
155,Comfort
156,Beyond
157,Wishes
158,Usual
159,Thousand
160,Themselves
161,Sorry
162,Silence
163,Expression
164,Everybody
165,Deal
166,Concern
167,Answered
168,Advantage
169,Speaking
170,Neither
171,Fear
172,Enquiry
173,Appearance
174,Appear
175,Sometimes
176,Sensible
177,Particularly
178,Pain
179,Merely
180,Length
181,Fine
182,Engagement
183,Determined
184,Dance
185,Consequence
186,Afterward
187,Ten
188,Servant
189,Resolved
190,Necessary
191,Instantly
192,Equal
193,Consider
194,Appeared
195,Understand
196,Poor
197,Opportunity
198,Neighbourhood
199,Mention
200,Master
201,Exactly
202,Countenance
203,Arrival
204,Alone
205,Younger
206,Smile
207,Obliged
208,Lost
209,Kindness
210,Forward
211,Astonishment
212,Whatever
213,Satisfaction
214,Mentioned
215,Meant
216,Joined
217,Highly
218,Endeavour
219,Circumstances
220,Attachment
