,0
It,1535
Is,860
A,1949
Truth,27
Universally,3
Acknowledged,20
That,1580
Single,12
Man,151
In,1880
Possession,9
Of,3612
Good,201
Fortune,39
Must,308
Be,1241
Want,44
Wife,47
However,134
Little,189
Known,58
The,4332
Feelings,86
Or,299
Views,11
Such,389
May,193
On,716
His,1271
First,145
Entering,9
Neighbourhood,29
This,448
So,589
Well,224
Fixed,22
Minds,4
Surrounding,2
Families,7
He,1336
Considered,23
Rightful,1
Property,8
Some,211
One,273
Other,210
Their,443
Daughters,50
My,719
Dear,158
Mr,786
Bennet,323
Said,401
Lady,191
To,4163
Him,764
Day,144
Have,842
You,1358
Heard,86
Netherfield,73
Park,22
Let,75
At,787
Last,120
Replied,103
Had,1177
Not,1429
But,1002
Returned,45
She,1710
For,1059
Mrs,343
Long,115
Has,221
Just,73
Been,514
Here,69
And,3584
Told,69
Me,448
All,625
About,122
Made,126
No,490
Answer,65
Do,347
Know,238
Who,285
Taken,31
Cried,91
Impatiently,5
Tell,71
I,2070
Objection,15
Hearing,24
Was,1846
Invitation,34
Enough,106
Why,53
Says,15
By,634
Young,130
Large,23
From,493
North,6
England,5
Came,90
Down,73
Monday,9
Chaise,11
Four,35
See,149
Place,75
Much,328
Delighted,23
With,1053
Agreed,12
Morris,1
Immediately,60
Take,80
Before,227
Michaelmas,2
Servants,13
Are,340
House,107
End,29
Next,71
Week,29
What,478
Name,33
Bingley,306
Married,61
Oh,96
Sure,102
Five,32
Thousand,34
Year,29
Fine,32
Thing,41
Our,74
Girls,45
How,231
Can,213
Affect,4
Them,435
Tiresome,2
Am,324
Thinking,21
Marrying,23
Design,22
Settling,3
Nonsense,8
Talk,32
Very,487
Likely,38
Fall,9
Love,92
Therefore,75
Visit,51
As,1181
Soon,216
Comes,16
Occasion,38
Go,104
Send,24
Themselves,34
Which,539
Perhaps,76
Will,415
Still,72
Better,92
Handsome,37
Any,268
Like,77
Best,41
Party,57
Flatter,10
Certainly,72
Share,14
Beauty,27
Pretend,7
Anything,80
Extraordinary,16
Now,209
When,374
Woman,61
Grown,5
Up,123
Ought,45
Give,123
Over,91
Her,2225
Own,183
Cases,6
Often,89
Think,211
Indeed,95
Into,142
More,325
Than,282
Engage,5
Assure,39
Consider,33
Your,456
Only,216
An,362
Establishment,6
Would,471
Sir,78
William,46
Lucas,70
Determined,32
Merely,33
Account,38
General,51
They,601
Newcomers,1
Impossible,44
Us,123
If,350
Scrupulous,1
Surely,4
Dare,40
Say,160
Glad,37
Few,71
Lines,9
Hearty,2
Consent,13
Whichever,2
Chooses,8
Though,226
Throw,8
Word,48
Lizzy,97
Desire,23
Bit,3
Others,54
Half,70
Jane,291
Nor,73
Humoured,7
Lydia,171
Always,119
Giving,25
Preference,10
None,19
Recommend,12
Silly,12
Ignorant,16
Something,71
Quickness,3
Sisters,76
Abuse,2
Children,25
Way,108
Delight,25
Vexing,1
Compassion,14
Poor,38
Nerves,4
Mistake,8
High,17
Respect,30
Old,13
Friends,55
Mention,30
Consideration,14
These,69
Twenty,17
Years,35
Least,65
Ah,5
Suffer,13
Hope,121
Get,52
Live,21
Many,120
Men,34
Come,93
Use,15
Should,248
Since,59
Depend,23
Upon,76
There,355
Odd,5
Mixture,5
Quick,10
Parts,5
Sarcastic,1
Humour,25
Reserve,7
Caprice,4
Experience,2
Three,61
Insufficient,10
Make,167
Understand,30
Character,64
Mind,57
Less,77
Difficult,11
Develop,1
Mean,34
Understanding,21
Information,27
Uncertain,2
Temper,24
Discontented,2
Fancied,7
Herself,227
Nervous,4
Business,45
Life,56
Its,105
Solace,1
Visiting,5
News,32
Among,25
Earliest,6
Those,59
Waited,7
Intended,21
Assuring,4
Till,93
Evening,74
After,200
Paid,19
Knowledge,20
Then,175
Disclosed,1
