,0
1,40
From,2861
Fairest,47
Creatures,45
We,3877
Desire,256
Increase,29
That,12121
Thereby,27
Beauty,272
S,8101
Rose,81
Might,560
Never,1126
Die,513
But,6691
As,6115
The,29141
Riper,3
Should,1684
By,4060
Time,1186
Decease,7
His,7404
Tender,159
Heir,113
Bear,577
Memory,61
Thou,5845
Contracted,12
To,21015
Thine,491
Own,802
Bright,92
Eyes,773
Feed,88
St,1170
Thy,4307
Light,312
Flame,27
With,8369
Self,225
Substantial,5
Fuel,5
Making,90
A,15866
Famine,12
Where,1461
Abundance,14
Lies,269
Foe,73
Sweet,852
Too,1351
Cruel,74
Art,992
Now,2980
World,726
Fresh,98
Ornament,20
And,28028
Only,329
Herald,70
Gaudy,8
Spring,74
Within,503
Bud,20
Buriest,1
Content,176
Churl,9
Mak,26
Waste,49
In,11974
Niggarding,1
Pity,233
Or,2603
Else,444
This,7079
Glutton,4
Be,7332
Eat,150
Due,86
Grave,202
Thee,3360
2,43
When,2203
Forty,32
Winters,11
Shall,3823
Besiege,11
Brow,82
Dig,11
Deep,173
Trenches,8
Field,187
Youth,304
Proud,229
Livery,27
So,5408
Gazed,4
On,3408
Will,5291
Tattered,3
Weed,20
Of,18368
Small,99
Worth,230
Held,91
Then,2454
Being,723
Asked,9
All,4242
Treasure,61
Lusty,38
Days,215
Say,1838
Sunken,3
Were,1707
An,1882
Eating,15
Shame,348
Thriftless,4
Praise,191
How,2307
Much,1088
More,2468
Deserv,41
D,8785
Use,346
If,3771
Couldst,32
Answer,433
Fair,829
Child,270
Mine,1254
Sum,58
My,13124
Count,118
Make,1773
Old,745
Excuse,87
Proving,2
Succession,17
New,287
Made,903
See,1562
Blood,711
Warm,51
Feel,111
It,8148
Cold,231
3,35
Look,959
Glass,82
Tell,1139
Face,468
Viewest,2
Is,9794
Form,115
Another,490
Whose,676
Repair,49
Not,8974
Renewest,1
Dost,440
Beguile,25
Unbless,3
Some,1431
Mother,435
For,8204
She,2777
Uneared,1
Womb,58
Disdains,6
Tillage,1
Husbandry,15
Who,1428
He,7157
Fond,65
Tomb,52
Love,2354
Stop,106
Posterity,13
Calls,98
Back,365
Lovely,55
April,19
Her,4450
Prime,20
Through,300
Windows,20
Age,228
Shalt,314
Despite,55
Wrinkles,16
Golden,103
Live,556
Remembered,10
Single,62
Image,53
Dies,116
4,16
Unthrifty,4
Loveliness,2
Why,1556
Spend,73
Upon,1861
Legacy,6
Nature,411
Bequest,1
Gives,166
Nothing,672
Doth,1034
Lend,108
Frank,13
Lends,16
Those,604
Are,3708
Free,204
Beauteous,41
Niggard,10
Abuse,54
Bounteous,19
Largess,5
Given,202
Give,1431
Profitless,3
Usurer,11
Great,985
Sums,17
Yet,1737
Canst,188
Having,174
Traffic,13
Alone,255
Deceive,29
Gone,489
What,5094
Acceptable,1
Audit,9
Leave,700
Unused,5
Must,1631
Tombed,1
Which,2540
Used,27
Lives,221
Th,1133
Executor,2
5,2
Hours,150
Gentle,395
Work,204
Did,1759
Frame,49
Gaze,31
Every,509
Eye,494
Dwell,50
Play,362
Tyrants,12
Very,849
Same,300
Unfair,1
Fairly,47
Excel,6
Resting,5
Leads,32
Summer,94
Hideous,23
Winter,77
Confounds,14
Him,5508
There,2337
Sap,15
Checked,3
Frost,13
Leaves,79
Quite,88
O,3252
Er,673
Snowed,1
Bareness,4
Distillation,2
Left,271
Liquid,9
Prisoner,88
Pent,11
Walls,83
Effect,73
Bereft,20
Nor,1046
No,4033
Remembrance,64
Was,2431
Flowers,77
Distilled,6
Though,683
They,2772
Meet,329
Leese,1
Their,2337
Show,525
Substance,42
Still,633
6,2
Let,2499
Ragged,25
Hand,910
Deface,5
Ere,402
Vial,5
Place,501
Killed,16
Forbidden,5
Usury,4
Happies,1
Pay,149
Willing,43
Loan,3
Breed,56
Ten,158
Times,220
Happier,18
One,1960
Than,1951
Refigured,1
Could,679
Death,966
Do,3972
Shouldst,73
Depart,72
Leaving,28
Living,131
Willed,2
Conquest,34
Worms,27
7,2
Lo,77
Orient,6
Gracious,199
Lifts,5
Up,1167
Burning,59
Head,560
Each,269
Under,313
Homage,17
Appearing,9
Sight,219
Serving,29
Looks,230
Sacred,56
Majesty,275
Climbed,1
Steep,24
Heavenly,68
Hill,43
Resembling,5
Strong,220
Middle,21
Mortal,106
Adore,16
Attending,52
Pilgrimage,18
Highmost,2
Pitch,38
Weary,89
Car,23
Like,1971
Feeble,40
Reeleth,1
Day,911
Fore,55
Duteous,12
Converted,7
Low,112
Tract,4
Way,611
Out,1506
Going,117
Noon,18
Unlooked,4
Diest,23
Unless,161
Get,330
Son,734
8,2
Music,223
Hear,917
Sadly,22
Sweets,17
War,287
Joy,218
Delights,21
Lov,174
Receiv,56
Gladly,16
Pleasure,195
Annoy,11
True,870
Concord,9
Well,2374
Tuned,6
Sounds,55
Unions,1
Married,158
Offend,62
Ear,215
Sweetly,35
Chide,52
Singleness,2
Parts,118
Mark,265
String,9
Husband,350
Strikes,45
Mutual,16
Ordering,3
Sire,22
Happy,217
Pleasing,24
Note,162
Sing,164
Speechless,15
Song,89
Many,615
Seeming,67
Sings,83
Wilt,324
Prove,264
None,512
9,2
Fear,712
Wet,22
Widow,123
Consum,7
Life,954
Ah,186
Issueless,2
Hap,27
Wail,28
Makeless,1
Wife,552
Weep,185
Hast,613
Behind,130
Private,74
May,1790
Keep,510
Children,133
Shape,94
Mind,385
Unthrift,3
Shifts,8
Enjoys,7
Hath,2032
End,352
Kept,112
User,2
Destroys,2
Toward,107
Others,219
Bosom,133
Sits,66
Himself,476
Such,1523
Murd,23
Rous,37
Commits,6
10,3
Deny,142
Any,754
Unprovident,1
Grant,117
Beloved,33
Most,1236
Evident,7
Possessed,15
Hate,186
Gainst,112
Stick,31
Conspire,8
Seeking,24
Roof,19
Ruinate,3
Chief,103
Change,163
Thought,409
I,23671
Fairer,42
Lodged,5
Presence,111
Kind,294
At,2699
Least,114
Hearted,41
Me,8248
11,1
Fast,147
Wane,2
Grow,150
Departest,1
Youngly,2
Bestow,71
Mayst,70
Call,766
Convertest,1
Herein,28
Wisdom,100
Without,393
Folly,86
Decay,34
Minded,18
Cease,53
Threescore,6
Year,101
Would,2460
Away,903
Whom,461
Store,45
Harsh,31
Featureless,1
Rude,77
Barrenly,1
Perish,45
Best,484
Endowed,2
Gave,252
Gift,67
Bounty,45
Cherish,28
Carved,6
Seal,102
Meant,56
Print,15
Copy,14
12,2
Clock,86
Tells,47
Brave,176
Sunk,4
Night,801
Behold,181
Violet,8
Past,160
Sable,8
Curls,4
Silvered,2
White,175
Lofty,19
Trees,32
Barren,43
Erst,7
Heat,75
Canopy,10
Herd,18
Green,122
Girded,2
Sheaves,1
Borne,90
Bier,6
Bristly,1
Beard,96
Question,168
Among,97
Wastes,4
Go,1771
Since,480
Beauties,16
Themselves,177
Forsake,26
Scythe,7
Can,1314
Defence,42
Save,231
Takes,124
Hence,381
13,1
You,14590
Your,7062
Longer,121
Yours,272
Here,2482
Against,619
Coming,165
Prepare,69
Semblance,25
Other,744
Hold,505
Lease,9
Find,546
Determination,6
Again,794
After,449
Issue,115
Lets,34
House,545
Fall,374
Honour,756
Uphold,6
Stormy,6
Gusts,7
Rage,137
Eternal,40
Unthrifts,2
Dear,477
Know,1845
Had,1541
Father,1122
14,1
Stars,84
Judgement,39
Pluck,140
Methinks,153
Have,6266
Astronomy,1
Good,2981
Evil,70
Luck,25
Plagues,14
Dearths,1
Seasons,12
Quality,60
Fortune,393
Brief,94
Minutes,18
Pointing,14
Thunder,82
Rain,67
Wind,202
Princes,124
Oft,158
Predict,1
Heaven,699
Knowledge,81
Derive,11
Constant,55
Them,2092
Read,216
Truth,349
