Thou,pronoun,old-fashioned + literary{/it} used as a singular form of {ldquo}you{rdquo} when it is the subject of a verb
Thy,adjective,old-fashioned + literary{/it}
Lord,noun, a man who has power and authority: such as
Thee,pronoun,old-fashioned + literary{/it} used as a singular form of {ldquo}you{rdquo} when it is the object of a verb or preposition.
O,noun, the 15th letter of the English alphabet
Sir,noun," without a name as a form of polite address to a man of rank or authority (such as a military or police officer, teacher, or master)"
Tis,noun, the seventh note of a musical scale
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone {bc} to talk to someone"
Eye,noun, the part of the body that you see with
Mine,pronoun, that which belongs to me {bc} my one {bc} my ones
Lady,noun, a woman who behaves in a polite way
Father,noun, a male parent
Duke,noun, a man of very high rank in the British nobility
Queen,noun, a woman who rules a country and who usually inherits her position and rules for life
Nor,conjunction, after a negative statement to introduce a related negative word or statement
Exit,noun, something (such as a door) that is used as a way to go out of a place
Master,noun, someone who has control or power over others: such as
Hear,verb, to be aware of (sound) through the ear
Prince,noun, a male member of a royal family {it}especially{/it} {bc} the son or grandson of a king or queen
Son,noun, a male child
Sweet,adjective, containing a lot of sugar
Heaven,noun, the place where God lives and where good people go after they die according to some religions
Thus,adverb, in this way or manner {bc} like this
Fair,adjective, agreeing with what is thought to be right or acceptable
Pray,verb, to speak to God especially in order to give thanks or to ask for something
Cannot,, as the negative form of {it}can{/it}
Fear,noun, an unpleasant emotion caused by being aware of danger {bc} a feeling of being afraid
Ay,adverb, to indicate a spoken yes vote
Stand,verb, to be in an upright position with all of your weight on your feet
Leave,verb, to go away from (a place)
Brother,noun, a boy or man who has one or both of the same parents as you
Blood,noun, the red liquid that flows through the bodies of people and animals
Noble,adjective," having, showing, or coming from personal qualities that people admire (such as honesty, generosity, courage, etc.)"
Bear,noun, any one of a group of large and heavy animals that have thick hair and sharp claws and that can stand on two legs like a person
Till,preposition,
Nothing,pronoun, not anything {bc} not a thing
Whose,adjective," in questions to ask who owns something, has something, etc."
Poor,adjective, having little money or few possessions {bc} not having enough money for the basic things that people need to live properly
Er,interjection, when you are speaking and you are not sure what to say
Grace,noun, a way of moving that is smooth and attractive and that is not stiff or awkward
Therefore,adverb,somewhat formal{/it} {bc} for that reason {bc} because of that
Servant,noun, a person who is hired to do household or personal duties such as cleaning and cooking
Daughter,noun, a female child
Nay,adverb,old-fashioned + literary{/it} used to correct what you have said by replacing a word with one that is more accurate or appropriate
Fool,noun, a person who lacks good sense or judgment {bc} a stupid or silly person
Soul,noun, the spiritual part of a person that is believed to give life to the body and in many religions is believed to live forever
Gentleman,noun, a man who treats other people in a proper and polite way
Hold,verb," to have or keep (something) in your hand, arms, etc."
Myself,pronoun, the person who is speaking or writing:
Dead,adjective, no longer alive or living {bc} no longer having life
Ye,pronoun,old-fashioned + literary{/it}
Peace,noun, a state in which there is no war or fighting
Wife,noun, a married woman {bc} the woman someone is married to
Bring,verb, to come with (something or someone) to a place
Marry,verb, to become the husband or wife of (someone) {bc} to become joined with (someone) in marriage
Madam,noun,formal{/it} used to politely speak to a woman who you do not know
Boy,noun, a male child
Tongue,noun," the soft, movable part in the mouth that is used for tasting and eating food and in human beings for speaking"
Fortune,noun, a very large amount of money
Die,verb, to stop living
Soldier,noun, a person who is in the military {bc} a member of an army
Thine,pronoun,old-fashioned + literary{/it}
Thank,verb, to tell (someone) that you are grateful for something that he or she has done or given
Dear,adjective, loved or valued very much
Himself,pronoun," that same man, boy, or male animal:"
Mistress,noun, a woman who has control or power over others: such as
Hour,noun, one of the 24 equal parts of a day {bc} 60 minutes
Aside,adverb, to or toward the side
Mother,noun, a female parent
Arm,noun, either one of the two long body parts that join the top of your body at the shoulder and that end at the hand or wrist
Woman,noun, an adult female human being
Whom,pronoun, in formal writing or speech
Unto,preposition,old-fashioned{/it} used in the past like {ldquo}to{rdquo}
Fall,verb, to come or go down quickly from a high place or position
Answer,noun, something you say or write when someone asks you a question
Sword,noun, a weapon with a long metal blade that has a sharp point and edge
Scene,noun, a division of an act in a play during which the action takes place in a single place without a break in time
Indeed,adverb, without any question
Mind,noun," the part of a person that thinks, reasons, feels, and remembers"
Faith,noun, strong belief or trust in someone or something
Hope,verb, to want something to happen or be true and think that it could happen or be true
Follow,verb, to go or come after or behind (someone or something)
Bid,verb, to offer to pay (a particular amount of money) for something that is being sold {bc} to make a bid at an auction
Spirit,noun," the force within a person that is believed to give the body life, energy, and power"
Fellow,noun, a male person {bc} a boy or man
Tear,verb," to separate (something) into parts by pulling it, cutting it, etc. {bc} to rip, split, or open (something) quickly or violently"
Gentle,adjective, having or showing a kind and quiet nature {bc} not harsh or violent
Ere,preposition or conjunction,old-fashioned or literary{/it}
Forth,adverb, out into notice or view
Rest,noun," the part that is left when other people or things are gone, used, etc."
Messenger,noun, someone who delivers a message or does other small jobs that involve going somewhere
Matter,noun," something that is being done, talked about, or thought about"
Ear,noun, the part of the body that you hear with
Letter,noun, any one of the marks that are symbols for speech sounds in written language and that form an alphabet
