,0
Fairest,45
Creatures,42
We,2930
Desire,243
Increase,27
That,12122
Thereby,24
Beauty,275
Rose,69
Might,504
Never,1005
Die,492
As,4557
The,29105
Riper,3
Should,1523
By,3168
Time,1102
Decease,7
Tender,158
Heir,135
Bear,640
His,6802
Memory,64
Thou,4813
Contracted,12
To,17313
Thine,468
Own,803
Bright,89
Eyes,770
St,1170
Thy,3870
Light,328
Flame,28
With,7306
Self,219
Substantial,5
Fuel,5
A,15866
Famine,11
Where,1461
Abundance,14
Ly,277
Foe,72
Sweet,722
Too,1288
Cruel,75
Art,925
Now,2131
World,733
Fresh,93
Ornament,32
And,28025
Only,270
Herald,37
Gaudy,8
Spring,80
Bud,37
Buriest,1
Content,185
Churl,10
Mak,25
Waste,47
In,10789
Niggarding,1
Or,1868
Else,415
This,5856
Glutton,3
Be,6805
Eat,164
Due,79
Grave,198
Thee,3340
When,2203
Forty,29
Winter,85
Shall,3333
Besiege,11
Brow,127
Dig,12
Deep,167
Trenches,8
Field,211
Youth,293
Proud,211
Livery,33
So,4304
Gazed,4
On,3177
Tattered,3
Weed,62
Of,16630
Small,87
Worth,225
Held,85
Then,2456
Being,600
Asked,9
All,3721
Treasure,59
Lusty,37
Days,214
Say,1618
Within,346
Sunken,3
An,1618
Eating,11
Shame,334
Thriftless,3
Praise,186
How,2307
Much,1044
More,2228
Deserv,38
Use,329
If,3772
Couldst,31
Answer,433
Fair,766
Child,256
Mine,1150
Sum,75
My,11375
Count,60
Make,1592
Old,655
Excuse,81
Succession,17
Were,1489
New,586
Made,828
See,1426
Blood,718
Warm,52
Feel,116
It,8162
Cold,216
Glass,82
Tell,1001
Face,468
Viewest,2
Is,8820
Form,138
Another,410
Repair,42
Not,8469
Renewest,1
Dost,352
Beguile,25
Unbless,3
Some,1179
Mother,439
She,2778
Whose,422
Uneared,1
Womb,61
Tillage,1
Husbandry,15
Who,1428
He,7157
Fond,62
Will,4809
Tomb,56
Love,2213
Stop,114
Posterity,12
Back,373
Lovely,55
Her,4267
Prime,20
Through,258
Window,70
Age,216
Shalt,306
Wrinkles,14
Golden,97
Live,524
Remembered,10
Single,60
Image,52
Dy,230
Loveliness,2
Why,1556
Spend,77
Legacy,7
Bequest,1
Gives,134
Nothing,575
But,3859
Doth,905
Lend,95
Frank,11
Those,514
Are,3355
Free,192
Beauteous,38
Niggard,9
Abuse,52
Bounteous,18
Largess,5
Given,194
Give,1094
Usurer,16
Great,886
Yet,1279
Canst,163
Having,137
Traffic,12
Alone,250
Deceive,27
Nature,349
Call,732
Gone,474
What,5097
Acceptable,1
Audit,9
Leave,653
Unused,5
Must,1475
Tombed,1
Used,27
Lives,204
Th,1025
Executor,5
Hour,470
Gentle,368
Work,224
Did,1497
Frame,48
Gaze,30
Every,474
Eye,492
Dwell,67
Play,341
Tyrant,72
Very,792
Same,299
Unfair,1
Which,1555
Fairly,44
Excel,12
Resting,5
Lead,161
Summer,99
Hideous,23
Confound,45
Him,5478
There,1639
Checked,3
Frost,18
Leaves,77
Quite,74
Er,673
Snowed,1
Bareness,4
Distillation,2
Left,260
Liquid,9
Prisoner,132
Pent,11
Wall,148
Effect,100
Bereft,18
Nor,665
No,2908
Remembrance,63
Was,2196
Flower,133
Distilled,5
Though,431
They,2772
Meet,325
Their,2209
Show,579
Substance,42
Still,565
Let,1530
Ragged,25
Hand,1244
Deface,5
Ere,318
Vial,9
Place,492
Killed,16
Forbidden,4
Usury,6
Happy,201
Pay,141
Willing,39
Loan,3
For,6246
Breed,79
Ten,136
Times,221
Happier,16
One,1744
Than,1518
Refigured,1
Could,604
Death,937
Do,3434
Shouldst,72
Depart,70
Living,131
Willed,2
Conquest,35
Worm,68
Orient,6
Gracious,186
Up,1138
Burning,58
Head,670
Each,216
Under,221
Homage,17
Appearing,9
Sight,243
Look,901
Sacred,54
Majesty,107
Climbed,1
Steep,22
Heavenly,68
Hill,57
Strong,215
Middle,21
Mortal,111
Adore,15
Pilgrimage,18
From,2472
Highmost,2
Pitch,37
Weary,96
Car,24
Feeble,23
Reeleth,1
Day,911
Fore,39
Duteous,12
Converted,7
Low,107
Tract,4
Way,615
Out,1353
Going,109
Noon,17
Diest,23
Unless,68
Get,265
Son,842
Hear,856
Music,181
Sadly,22
War,417
Joy,212
Delight,88
Lov,168
Receiv,52
Gladly,15
Pleasure,194
Annoy,11
True,807
Concord,9
Well,1770
Tuned,6
Sound,240
Union,6
Marry,353
Offend,68
Ear,386
Sweetly,33
Chide,49
Singleness,2
Part,626
String,24
Husband,370
Mutual,16
Ordering,3
Sire,20
Pleasing,24
Note,153
Sing,183
