Mr,noun,
Lorry,noun,British{/it}
Mis,prefix,badly  wrongly
Doctor,noun,a person who is skilled in the science of medicine a person who is trained and licensed to treat sick and injured people
Himself,pronoun,"that same man, boy, or male animal:"
Eye,noun,the part of the body that you see with
Father,noun,a male parent
Look,verb,to direct your eyes in a particular direction
Madame,noun,like Mrs. as a title for a married Frenchwoman
Prisoner,noun,a person who is kept in a prison
Pros,noun,an argument for something {bc} a reason to do something
Door,noun,"a movable piece of wood, glass, or metal that swings or slides open and shut so that people can enter or leave a room, building, vehicle, etc."
Nothing,pronoun,not anything {bc} not a thing
Don,noun,British a teacher in a college or university {it}especially{/it} {bc} a teacher at Oxford or Cambridge University
Business,noun,"the activity of making, buying, or selling goods or providing services in exchange for money"
Mind,noun,"the part of a person that thinks, reasons, feels, and remembers"
Ye,pronoun,old-fashioned + literary{/it}
Dear,adjective,loved or valued very much
Turn,verb,to move around a central point
Wine,noun,an alcoholic drink made from the juice of grapes
Arm,noun,either one of the two long body parts that join the top of your body at the shoulder and that end at the hand or wrist
Always,adverb,at all times {bc} on every occasion {bc} in a way that does not change
Sir,noun,"without a name as a form of polite address to a man of rank or authority (such as a military or police officer, teacher, or master)"
Voice,noun,"the sounds that you make with your mouth and throat when you are speaking, singing, etc."
Wife,noun,a married woman {bc} the woman someone is married to
Husband,noun,a married man {bc} the man someone is married to
Hour,noun,one of the 24 equal parts of a day {bc} 60 minutes
Manner,noun,somewhat formal{/it} {bc} the way that something is done or happens
Hope,verb,to want something to happen or be true and think that it could happen or be true
Moment,noun,a very short period of time
Prison,noun,a building where people are kept as punishment for a crime or while they are waiting to go to court
Dark,adjective,having very little or no light
Poor,adjective,having little money or few possessions {bc} not having enough money for the basic things that people need to live properly
Ask,verb,to say or write something to someone as a way of gaining information {bc} to request an answer to a question
Cry,verb,"to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions"
Know,verb,to have (information of some kind) in your mind
See,verb,to notice or become aware of (someone or something) by using your eyes
Return,verb,to come or go to a place again {bc} to come back or go back again
Gentleman,noun,a man who treats other people in a proper and polite way
Stone,noun,"a hard substance that comes from the ground and is used for building, carving, etc."
Woman,noun,an adult female human being
Daughter,noun,a female child
Spy,noun,a person who tries secretly to get information about a country or organization for another country or organization
Whom,pronoun,in formal writing or speech
Brother,noun,a boy or man who has one or both of the same parents as you
Lay,verb,to place (someone or something) down gently in a flat position
Dead,adjective,no longer alive or living {bc} no longer having life
Pass,verb,to move past someone or something
Round,adjective,shaped like a circle or ball
Wall,noun,"a structure of brick, stone, etc., that surrounds an area or separates one area from another"
Citizen,noun,a person who legally belongs to a country and has the rights and protection of that country
Strong,adjective,having great physical power and ability {bc} having a lot of strength
Quite,adverb,to a very noticeable degree or extent
Corner,noun,"the point or area where two lines, edges, or sides of something meet"
Hair,noun,a thin threadlike growth from the skin of a person or animal
Horse,noun,a large animal that is used for riding and for carrying and pulling things
Heard,verb,to be aware of (sound) through the ear
Toward,preposition,in the direction of (something or someone)
Stop,verb,"to not move, walk, etc., after doing so before"
Speak,verb,"to say words in order to express your thoughts, feelings, opinions, etc., to someone {bc} to talk to someone"
Myself,pronoun,the person who is speaking or writing:
Lady,noun,a woman who behaves in a polite way
Seem,verb,"to appear to be something or to do something {bc} to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Carriage,noun,a large vehicle with four wheels that is pulled by a horse and that carries people
Hold,verb,"to have or keep (something) in your hand, arms, etc."
