,0
It,173
Is,132
Very,22
Seldom,1
That,110
Mere,1
Ordinary,1
People,6
Like,21
John,45
And,288
Myself,10
Secure,1
Ancestral,1
Halls,1
For,53
The,240
Summer,1
A,143
Colonial,1
Mansion,1
Hereditary,1
Estate,2
I,319
Would,27
Say,6
Haunted,1
House,9
Reach,5
Height,1
Of,108
Romantic,1
Felicity,1
But,74
Be,31
Asking,1
Too,12
Much,16
Fate,1
Still,5
Will,13
Proudly,1
Declare,1
There,47
Something,9
Queer,3
About,25
Else,5
Why,13
Should,7
Let,9
So,67
Cheaply,1
Have,34
Stood,1
Long,12
Untenanted,1
Laughs,2
At,36
Me,70
Course,12
One,33
Expects,1
In,93
Marriage,1
Practical,1
Extreme,1
He,58
Has,8
No,14
Patience,1
With,28
Faith,1
An,9
Intense,1
Horror,2
Superstition,1
Scoffs,1
Openly,1
Any,10
Talk,6
Things,12
Not,44
To,146
Felt,4
Seen,2
Put,4
Down,29
Figures,1
Physician,4
Perhaps,5
Living,1
Soul,1
This,29
Dead,1
Paper,23
Great,11
Relief,3
My,40
Mind,6
Reason,2
Do,17
Get,24
Well,15
Faster,4
You,41
See,24
Does,10
Believe,8
Am,23
Sick,4
What,17
Can,31
If,28
High,4
Standing,4
S,10
Own,2
Husband,1
Assures,1
Friends,1
Relatives,1
Really,14
Nothing,7
Matter,2
Temporary,1
Nervous,8
Depression,1
Slight,1
Hysterical,1
Tendency,2
Brother,3
Also,2
Says,11
Same,7
Thing,14
Take,12
Phosphates,1
Or,14
Phosphites,1
Whichever,1
Tonics,2
Journeys,1
Air,5
Exercise,3
Absolutely,1
Forbidden,1
Work,4
Until,4
Again,5
Personally,2
Disagree,1
Their,2
Ideas,2
Congenial,1
Excitement,1
Change,1
Good,16
Did,13
Write,5
While,3
Spite,5
Them,8
Exhaust,2
Deal,5
Having,1
Sly,2
Meet,1
Heavy,3
Opposition,2
Sometimes,9
Fancy,6
Condition,3
Had,23
Less,1
More,14
Society,1
Stimulus,1
Worst,2
Think,16
Confess,1
Always,12
Makes,8
Feel,11
Bad,7
Alone,8
Most,8
Beautiful,4
Place,5
Quite,8
Back,6
From,8
Road,5
Three,5
Miles,1
Village,1
English,1
Places,3
Read,2
Are,28
Hedges,1
Walls,3
Gates,1
Lock,2
Lots,2
Separate,1
Little,20
Houses,1
Gardeners,1
Delicious,1
Garden,5
Never,10
Saw,5
Such,14
Large,1
Shady,2
Full,3
Box,1
Bordered,1
Paths,2
Lined,1
Grape,2
Covered,2
Arbors,4
Seats,1
Under,9
Were,5
Greenhouses,1
They,14
All,40
Broken,2
Now,21
Was,37
Some,5
Legal,1
Trouble,1
Heirs,2
Co,1
Anyhow,1
Been,6
Empty,2
Years,1
Spoils,1
Ghostliness,1
Afraid,2
Don,29
T,53
Care,4
Strange,2
Even,11
Said,30
Moonlight,6
Evening,3
Draught,1
Shut,1
Window,8
Unreasonably,1
Angry,5
M,7
Sure,4
Used,11
Sensitive,1
Due,1
Shall,6
Neglect,1
Proper,1
Self,2
Control,3
Pains,1
Before,10
Him,18
Least,3
Tired,7
Our,4
Room,24
Bit,7
Wanted,3
Downstairs,4
Opened,1
On,30
Piazza,1
Roses,2
Over,14
Pretty,3
Old,4
Fashioned,2
Chintz,1
Hangings,1
Hear,1
Only,14
Two,5
Beds,2
Near,2
Took,3
Another,6
Careful,3
Loving,2
Hardly,1
Lets,2
Stir,1
Without,2
Special,1
Direction,2
Schedule,1
Prescription,1
Each,3
Hour,4
Day,8
Takes,2
Basely,1
Ungrateful,1
Value,1
We,19
Came,5
Here,17
Solely,1
Account,1
Perfect,2
Rest,4
Could,12
Your,7
Depends,1
Strength,3
Dear,11
Food,1
Somewhat,1
Appetite,3
Absorb,1
Time,11
Nursery,5
Top,2
Big,4
Airy,2
Whole,2
Floor,4
Nearly,1
Windows,9
Look,7
Ways,1
Sunshine,1
Galore,1
First,7
Then,16
Playground,1
Gymnasium,1
Judge,1
Barred,2
Children,6
Rings,1
Paint,1
As,49
Boys,1
School,1
Stripped,1
Off,17
Patches,1
Around,9
Head,5
Bed,6
Far,3
Other,6
Side,1
Low,3
Worse,4
Life,3
Those,9
Sprawling,2
Flamboyant,1
Patterns,1
Committing,1
Every,5
Artistic,1
Sin,1
Dull,2
Enough,11
Confuse,1
Eye,1
Following,2
Pronounced,1
Constantly,1
Irritate,2
Provoke,1
Study,1
When,25
Follow,4
Lame,2
Uncertain,1
Curves,2
Distance,1
Suddenly,3
Commit,1
Suicide,1
Plunge,1
Outrageous,1
Angles,1
Destroy,1
Themselves,1
Unheard,1
Contradictions,1
Color,4
Repellant,1
Almost,3
Revolting,1
Smouldering,1
Unclean,1
Yellow,8
Strangely,1
Faded,2
By,24
Slow,1
Turning,1
Sunlight,1
Yet,2
Lurid,1
Orange,1
Sickly,1
Sulphur,1
Tint,1
Others,1
Wonder,8
Hated,2
Hate,2
Live,2
Comes,6
Must,10
Away,11
Hates,2
Word,2
Weeks,3
Haven,1
Writing,4
Since,1
Sitting,1
Up,14
Atrocious,1
Hinder,1
Please,2
Save,1
Lack,2
Nights,1
His,9
Cases,2
Serious,3
Glad,1
Case,4
These,3
Troubles,1
Dreadfully,2
Depressing,1
Know,15
How,9
Suffer,2
Knows,3
Satisfies,1
Nervousness,1
Weigh,2
Duty,1
Way,8
Meant,2
Help,3
Real,2
Comfort,3
Comparative,1
Burden,1
Already,1
Nobody,5
Effort,3
Able,5
Dress,1
Entertain,1
Order,2
Fortunate,2
Mary,1
Baby,4
Cannot,4
Suppose,4
Wallpaper,12
Repaper,1
Afterwards,1
Letting,1
Better,10
Patient,1
Than,10
Give,3
Fancies,3
After,5
Changed,1
Bedstead,3
Gate,1
Stairs,3
Doing,4
Renovate,1
Just,19
Months,2
Rental,1
Us,1
Go,15
Rooms,1
Arms,2
Called,1
Blessed,2
Goose,1
Cellar,1
Wished,3
Whitewashed,1
Into,6
Bargain,1
Right,2
Comfortable,1
Need,1
Wish,5
Silly,3
Make,4
Uncomfortable,1
Whim,1
Getting,8
Fond,2
Horrid,2
Out,30
Mysterious,1
Deep,1
Shaded,4
Riotous,1
Flowers,1
Bushes,1
Gnarly,1
Trees,2
Lovely,4
View,1
Bay,1
Private,1
Wharf,1
Belonging,1
Lane,3
Runs,2
Walking,2
Numerous,2
Cautioned,1
Imaginative,1
Power,1
Habit,3
Story,1
Making,2
Weakness,2
Mine,2
Lead,1
Manner,2
Excited,1
Ought,1
Use,3
Sense,1
Check,1
Try,4
Relieve,1
Press,1
Find,8
Discouraging,1
Advice,1
Companionship,1
Ask,2
Cousin,2
Henry,2
Julia,2
Visit,2
Soon,2
Fire,1
Works,1
Pillow,1
Stimulating,1
Looks,3
Knew,1
Vicious,2
Influence,1
Recurrent,1
Spot,1
Where,6
Pattern,24
Lolls,1
Neck,1
Bulbous,2
Eyes,6
Stare,1
Upside,2
Positively,1
Impertinence,1
Everlastingness,1
Sideways,1
Crawl,2
Absurd,2
Unblinking,1
Everywhere,1
Breadths,2
Didn,4
Match,1
Line,1
Higher,1
Expression,2
Inanimate,1
Lie,7
Awake,3
Child,4
Entertainment,1
Terror,1
Blank,1
Plain,2
Furniture,4
Toy,1
Store,1
Remember,1
Kindly,1
Wink,1
Knobs,1
Bureau,1
Chair,2
Seemed,3
Strong,2
Friend,2
Looked,6
Fierce,1
Hop,1
Safe,1
Inharmonious,1
However,1
Bring,1
Playroom,1
Ravages,1
Made,2
Torn,1
Spots,3
Sticketh,1
Closer,1
Perseverance,1
Hatred,1
Scratched,1
Gouged,1
Splintered,1
Plaster,1
Itself,1
Dug,1
Which,2
Found,6
Through,7
Wars,1
Sister,2
Girl,2
She,33
Her,22
Enthusiastic,1
Housekeeper,1
Hopes,1
Profession,1
Verily,1
Thinks,1
Commands,1
Winding,1
Country,3
Elms,1
Velvet,1
Meadows,1
Kind,4
Sub,2
Different,1
Shade,1
Particularly,1
Irritating,1
Certain,1
Lights,2
Clearly,1
Isn,1
Sun,6
Provoking,1
Formless,1
Sort,2
Figure,2
Seems,4
Sulk,1
Behind,10
Conspicuous,1
Front,6
Design,2
Fourth,1
July,1
Gone,4
Thought,5
Might,3
Company,1
Mother,1
Nellie,1
Week,3
Jennie,12
Sees,1
Everything,3
Pick,1
Send,1
Weir,1
Mitchell,1
Fall,1
Want,11
Who,2
Hands,1
Once,4
Besides,3
Undertaking,1
Worth,1
Turn,4
Hand,3
Anything,3
Fretful,1
Querulous,1
Cry,2
Anybody,3
Kept,4
Town,3
Often,3
Walk,1
Sit,1
Porch,1
Because,4
Dwells,1
Immovable,1
Nailed,2
Gymnastics,1
Assure,1
Start,1
Ll,3
Bottom,1
Corner,2
Touched,2
Determine,1
Thousandth,1
Pointless,1
Conclusion,1
Principle,1
Arranged,1
Laws,1
Radiation,2
Alternation,1
Repetition,1
Symmetry,1
Ever,7
Heard,2
Repeated,1
Otherwise,1
Breadth,2
Stands,1
Bloated,1
Flourishes,1
Debased,1
Romanesque,1
Delirium,1
Tremens,1
Waddling,2
Isolated,1
Columns,1
Fatuity,1
Connect,1
Diagonally,1
Outlines,1
Run,2
Slanting,1
Waves,1
Optic,1
Lot,2
Wallowing,1
Seaweeds,1
Chase,1
Goes,2
Horizontally,1
Trying,4
Distinguish,1
Its,1
Going,2
Horizontal,1
Frieze,1
Adds,1
Wonderfully,1
Confusion,1
End,1
Intact,1
Cross,1
Fade,1
Shines,3
Directly,1
Upon,2
Interminable,2
Grotesques,1
Seem,1
Form,1
Common,1
Centre,1
Rush,1
Headlong,1
Plunges,1
Equal,1
Distraction,1
Nap,1
Guess,1
Greater,1
Half,3
Awfully,1
Lazy,1
Musn,1
Lose,2
Cod,1
Liver,1
Oil,1
Ale,1
Wine,1
Rare,1
Meat,1
Loves,2
Dearly,1
Tried,5
Earnest,1
Reasonable,1
Tell,5
Wasn,3
Nor,2
Stand,3
Got,7
Crying,2
Finished,1
Straight,4
Gathered,1
Carried,1
Upstairs,1
Laid,1
Sat,2
Till,3
Darling,4
Sake,4
Keep,3
Happy,1
Occupy,1
Escape,1
Wouldn,4
Impressionable,1
Worlds,1
Lucky,1
Easier,2
Mention,1
Wise,2
Watch,5
Outside,5
Dim,2
Shapes,1
Clearer,1
Shape,1
Woman,8
Stooping,1
Creeping,9
Begin,1
Hard,3
Last,4
Night,13
Moon,3
Creeps,2
Slowly,2
Asleep,2
Waken,1
Watched,3
Undulating,1
Creepy,1
Faint,1
Shake,2
Softly,1
Went,2
Move,4
Cold,1
Told,3
Gaining,2
Lease,1
Leave,4
Repairs,1
Done,2
Home,2
Possibly,1
Danger,1
Whether,3
Doctor,1
Flesh,1
May,2
Morning,3
Bless,1
Heart,1
Hug,1
Pleases,1
Improve,2
Shining,1
Hours,3
Sleep,10
Won,3
Asked,4
Gloomily,1
Nice,1
Trip,1
Few,2
Days,2
Ready,1
Body,1
Began,3
Stopped,2
Short,2
Stern,1
Reproachful,1
Beg,1
Instant,1
Idea,1
Enter,1
Dangerous,1
Fascinating,1
Temperament,1
Yours,1
False,1
Foolish,1
Trust,2
Score,1
Lay,1
Decide,1
Together,1
Separately,1
Daylight,5
Sequence,1
Defiance,1
Law,1
Constant,1
Irritant,1
Normal,1
Hideous,1
Unreliable,1
Infuriating,1
Torturing,1
Mastered,1
Turns,2
Somersault,1
Slaps,1
Face,1
Knocks,1
Tramples,1
Dream,1
Florid,1
Arabesque,1
Reminding,1
Fungus,3
Imagine,1
Toadstool,1
Joints,1
String,1
Toadstools,1
Budding,1
Sprouting,1
Endless,1
Convolutions,1
Marked,1
Peculiarity,1
Notice,2
Changes,4
Light,2
Shoots,2
East,1
Ray,1
Quickly,1
Twilight,1
Candlelight,1
Lamplight,1
Becomes,1
Bars,3
Mean,2
Realize,1
Showed,1
Subdued,1
Quiet,7
Keeps,3
Puzzling,1
Indeed,2
Started,1
Meal,1
Convinced,1
Cultivates,1
Deceit,1
Oh,1
Fact,1
Inexplicable,1
Strikes,1
Occasionally,1
Scientific,1
Hypothesis,1
Looking,2
Come,3
Innocent,2
Excuses,1
Ve,5
Caught,4
Several,2
Times,2
Voice,2
Restrained,1
Possible,1
Turned,2
Stealing,1
Frighten,1
Stained,1
Smooches,1
Clothes,1
Sound,1
Studying,1
Determined,1
Exciting,1
Expect,1
Forward,1
Eat,1
Pleased,1
Laughed,2
Flourishing,1
Laugh,2
Intention,1
Telling,1
Fun,1
Feeling,1
Interesting,1
Developments,1
Daytime,4
Tiresome,1
Perplexing,1
New,2
Shades,1
Count,1
Though,2
Conscientiously,1
Strangest,1
Ones,1
Buttercups,1
Foul,1
Smell,5
Noticed,1
Moment,1
Fog,1
Rain,1
Open,4
Hovering,1
Dining,1
Skulking,1
Parlor,1
Hiding,1
Hall,1
Lying,1
Wait,1
Gets,2
Hair,1
Ride,1
Surprise,1
Peculiar,1
Odor,2
Spent,1
Analyze,1
Smelled,1
Gentle,1
Subtlest,1
Enduring,1
Met,1
Damp,1
Weather,1
Awful,2
Wake,2
Hanging,1
Disturb,1
Seriously,1
Burning,1
Funny,2
Mark,1
Wall,4
Mopboard,1
Streak,1
Round,7
Piece,2
Except,1
Smooch,2
Rubbed,1
Dizzy,1
Discovered,1
Watching,1
Finally,1
Shakes,3
Many,3
Women,3
Crawls,1
Fast,4
Crawling,1
Bright,1
Hold,1
Climb,2
Strangles,2
Heads,3
White,1
Taken,1
Privately,1
Creep,8
Dark,1
Along,1
Carriage,1
Hides,1
Blackberry,1
Vines,1
