,0
It,174
Is,132
Very,22
Seldom,1
That,105
Mere,1
Ordinary,1
People,6
Like,21
And,288
Myself,10
Secure,1
Ancestral,1
Hall,2
For,51
The,240
Summer,1
A,143
Colonial,1
Mansion,1
Hereditary,1
Estate,2
I,319
Would,31
Say,17
Haunted,1
House,10
Reach,5
Height,1
Of,102
Romantic,1
Felicity,1
But,45
Be,31
Asking,1
Too,12
Much,16
Fate,1
Will,13
Proudly,1
Declare,1
There,28
Something,9
Queer,3
About,25
Why,9
Should,7
Let,11
So,60
Cheaply,1
Have,34
Stood,1
Long,12
Untenanted,1
Laugh,4
At,34
Me,70
Course,12
One,33
Expect,2
In,91
Marriage,1
Practical,1
Extreme,1
He,58
Has,8
No,13
Patience,1
With,28
Faith,1
An,9
Intense,1
Horror,2
Superstition,1
Scoff,1
Openly,1
Any,10
Talk,6
Thing,26
Not,44
To,145
Felt,4
Seen,2
Put,4
Down,29
Figure,3
Physician,4
Perhap,4
Living,1
Soul,1
This,24
Dead,1
Paper,23
Great,11
Relief,3
My,38
Mind,6
Reason,2
Do,17
Get,26
Well,14
Faster,4
See,25
Doe,10
Believe,8
Am,23
Sick,4
What,14
Can,30
If,28
High,4
Standing,4
Own,2
Husband,1
Assure,2
Friend,3
Relative,1
Really,13
Nothing,7
Matter,2
Temporary,1
Nervous,8
Depression,1
Slight,1
Hysterical,1
Tendency,2
Brother,3
Also,2
Same,7
Take,14
Phosphate,1
Or,14
Phosphite,1
Whichever,1
Tonic,2
Journey,1
Air,5
Exercise,3
Absolutely,1
Forbidden,1
Work,5
Until,4
Again,5
Disagree,1
Their,2
Ideas,2
Congenial,1
Excitement,1
Change,5
Good,16
Did,16
Write,5
While,3
Spite,5
Them,8
Exhaust,2
Deal,5
Having,1
Sly,2
Else,4
Meet,1
Heavy,3
Opposition,2
Sometime,8
Fancy,9
Condition,3
Had,23
Less,1
More,14
Society,1
Stimulus,1
Worst,2
Think,17
Confess,1
Alway,12
Make,12
Feel,11
Bad,7
Alone,8
Most,8
Beautiful,4
Place,8
Quite,8
Back,6
From,8
Road,5
Three,5
Mile,1
Village,1
You,36
Read,2
Are,28
Hedge,1
Wall,7
Gate,2
Lock,2
Lot,4
Separate,1
Little,20
Gardener,1
Delicious,1
Garden,5
Never,10
Saw,5
Such,11
Large,1
Shady,2
Full,3
Box,1
Bordered,1
Path,4
Lined,1
Grape,2
